question,question_id,question_type,answer
What are the symptoms of Age-related Macular Degeneration ?,0000001-18,symptoms,"An early symptom of wet AMD is that straight lines appear wavy. If you notice this condition or other changes to your vision, contact your eye care professional at once. You need a comprehensive dilated eye exam."
What are the symptoms of Age-related Macular Degeneration ?,0000001-19,symptoms,"The most common symptom of dry AMD is slightly blurred vision. You may have difficulty recognizing faces. You may need more light for reading and other tasks. Dry AMD generally affects both eyes, but vision can be lost in one eye while the other eye seems unaffected. One of the most common early signs of dry AMD is drusen. Drusen are yellow deposits under the retina. They often are found in people over age 50. Your eye care professional can detect drusen during a comprehensive dilated eye exam."
Who is at risk for Age-related Macular Degeneration? ?,0000001-20,susceptibility,"AMD is most common in older people, but it can occur during middle age. The risk increases with age. Other risk factors include smoking, obesity, white race, family history of AMD, and female gender."
What are the treatments for Age-related Macular Degeneration ?,0000001-22,treatment,"Once dry AMD reaches the advanced stage, no form of treatment can prevent vision loss. However, treatment can delay and possibly prevent intermediate AMD from progressing to the advanced stage, in which vision loss occurs."
What is (are) Age-related Macular Degeneration ?,0000001-23,information,"The AREDS formulation is a combination of antioxidants and zinc that is named for a study conducted by The National Eye Institute called the Age-Related Eye Disease Study, or AREDS. This study found that taking a specific high-dose formulation of antioxidants and zinc significantly reduced the risk of advanced AMD and its associated vision loss. Slowing AMD's progression from the intermediate stage to the advanced stage will save many people's vision."
What is (are) Age-related Macular Degeneration ?,0000001-24,information,"The daily amounts used by the study researchers were 500 milligrams of vitamin C, 400 International Units of vitamin E, 15 milligrams of beta-carotene, 80 milligrams of zinc as zinc oxide, and 2 milligrams of copper as cupric oxide. Copper was added to the AREDS formulation containing zinc to prevent copper deficiency anemia, a condition associated with high levels of zinc intake."
How to prevent Age-related Macular Degeneration ?,0000001-26,prevention,"There is no reason for those diagnosed with early stage AMD to take the AREDS formulation. The study did not find that the formulation helped those with early stage AMD. If you have early stage AMD, a comprehensive dilated eye exam every year can help determine if the disease is progressing. If early stage AMD progresses to the intermediate stage, discuss taking the formulation with your doctor."
What are the treatments for Age-related Macular Degeneration ?,0000001-27,treatment,"Wet AMD can be treated with laser surgery, photodynamic therapy, and drugs that are injected into the eye. None of these treatments is a cure for wet AMD. The disease and loss of vision may progress despite treatment."
what research (or clinical trials) is being done for Age-related Macular Degeneration ?,0000001-29,research,"The National Eye Institute scientists are - studying the possibility of transplanting healthy cells into a diseased retina   - evaluating families with a history of AMD to understand genetic and hereditary factors that may cause the disease  - looking at certain anti-inflammatory treatments for the wet form of AMD. studying the possibility of transplanting healthy cells into a diseased retina evaluating families with a history of AMD to understand genetic and hereditary factors that may cause the disease looking at certain anti-inflammatory treatments for the wet form of AMD. This research should provide better ways to detect, treat, and prevent vision loss in people with AMD."
What is (are) Age-related Macular Degeneration ?,0000001-32,information,"National Eye Institute  National Institutes of Health  2020 Vision Place  Bethesda, MD 20892-3655  301-496-5248  E-mail: 2020@nei.nih.gov  www.nei.nih.gov Association for Macular Diseases  210 East 64th Street, 8th Floor  New York, NY 10021-7471  212-605-3719 Foundation Fighting Blindness  Executive Plaza 1, Suite 800  11435 Cronhill Drive  Owings Mill, MD 21117-2220  1-888-394-3937  410-785-1414 Macular Degeneration Partnership  6222 Wilshire Boulevard, Suite 260  Los Angeles, CA 90048  1-888-430-9898  310-623-4466  www.amd.org"
What is (are) Alcohol Use and Older Adults ?,0000002-7,information,"Alcohol, also known as ethanol, is a chemical found in beverages like beer, wine, and distilled spirits such as whiskey, vodka, and rum. Through a process called fermentation, yeast converts the sugars naturally found in grains and grapes into the alcohol that is in beer and wine. Another process, called distillation, concentrates alcohol in the drink making it stronger, producing what are known as distilled spirits."
What is (are) Alcohol Use and Older Adults ?,0000002-18,information,"Blood alcohol concentration (BAC) measures the percentage of ethanolthe chemical name for alcohol in alcoholic beveragesin a persons blood. As you drink, you increase your blood alcohol concentration (BAC) level. The higher the BAC, the more impaired a person is. In all states, it is against the law for people to drive if their blood alcohol concentration is above .08. The effects of increased blood alcohol levels can include -  reduced inhibitions   -  slurred speech   - motor impairment   - confusion   -  memory problems   - concentration problems   - coma   - breathing problems   - death.  reduced inhibitions slurred speech motor impairment confusion memory problems concentration problems coma breathing problems death. Learn more about the risks of alcohol overdose."
What are the symptoms of Alcohol Use and Older Adults ?,0000002-21,symptoms,"Its not always obvious that someone drinks too much. For older adults, clues to a possible alcohol problem include memory loss, depression, anxiety, poor appetite, unexplained bruises, falls, sleeping problems, and inattention to cleanliness or appearance. Answering ""yes"" to at least one of the following questions is also a sign of a possible drinking problem: - Have you ever felt you should cut down on your drinking?  - Have people annoyed you by criticizing your drinking?  - Have you ever felt bad or guilty about your drinking?  - Have you ever had a drink first thing in the morning to steady your nerves or get rid of a hangover? Have you ever felt you should cut down on your drinking? Have people annoyed you by criticizing your drinking? Have you ever felt bad or guilty about your drinking? Have you ever had a drink first thing in the morning to steady your nerves or get rid of a hangover? If you answered yes to any of these questions, talk with your health care provider. Also seek help if you feel you are having drinking-related problems with your health, relationships, or work."
What is (are) Alcohol Use and Older Adults ?,0000002-23,information,"If a person drinks too much or too often he or she may develop an alcohol use disorder (AUD). An AUD can range in severity from mild to severe. On one end of this spectrum, drinking might cause sickness, depression, or sleeping problems. More severe symptoms include drinking more than intended or craving alcohol once youve stopped drinking. AUD can be a lifelong disease in which people have a strong need to drink, cannot control their drinking once they start, and over time need to drink greater and greater amounts of alcohol to get high. Older adults who develop a severe AUD become physically dependent on alcohol. When they stop drinking, they can get nauseated, sweaty, shaky, and restless. These withdrawal symptoms can cause them to start drinking again to feel better, even though doing so can lead to physical or psychological problems.  Learn more about alcohol use disorder."
What are the treatments for Alcohol Use and Older Adults ?,0000002-25,treatment,"There is not one right treatment for everyone with alcohol problems. In general, many people need more than one kind of treatment. Medicines can help people with alcohol use disorder quit drinking. Meeting with a therapist or substance-abuse counselor or with a support group may also help. Support from family and friends is important, too. A doctor can help a person decide on the best treatment. Making a change sooner rather than later makes treatment more likely to succeed. Learn more about treatment options for alcohol problems.  Learn more about available types of alcohol treatment.  (Watch the video to learn more about getting help for alcohol use disorder (AUD). To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.)"
What are the treatments for Alcohol Use and Older Adults ?,0000002-26,treatment,"Prescription medicines can help people with alcohol use disorder reduce their drinking, avoid going back to heavy drinking, and get sober. None of them works in every person. There are three medications approved by the U.S. Food and Drug Administration for the treatment of alcohol use disorder. - Naltrexone (Depade, ReVia, Vivitrol) acts in the brain to reduce craving for alcohol  -  Acamprosate (Campral) helps manage withdrawal symptoms such as anxiety, nausea, and sweating that may lead to a drinking relapse   - Disulfiram (Antabuse) makes a person feel sick after drinking alcohol.  Naltrexone (Depade, ReVia, Vivitrol) acts in the brain to reduce craving for alcohol Acamprosate (Campral) helps manage withdrawal symptoms such as anxiety, nausea, and sweating that may lead to a drinking relapse Disulfiram (Antabuse) makes a person feel sick after drinking alcohol."
What are the treatments for Alcohol Use and Older Adults ?,0000002-27,treatment,"Talking about alcohol use with a professional is beneficial to many people. Counseling  either one-on-one or in groups  can help develop skills to stop or reduce drinking, develop reachable goals, manage the triggers that lead to alcohol misuse and build a strong social support system that supports healthy habits. There are many kinds of counseling approaches. - cognitive behavior therapy   - motivational enhancement therapy  - marital and family counseling  - brief interventions cognitive behavior therapy motivational enhancement therapy marital and family counseling brief interventions Learn more about each type of behavioral therapy.  Counseling can be provided by - primary care doctors   - psychiatrists  -  psychologists  -  social workers  - certified alcohol counselors.  primary care doctors psychiatrists psychologists social workers certified alcohol counselors."
Where to find support for people with Alcohol Use and Older Adults ?,0000002-29,support groups,"Many people with alcohol problems find it helpful to talk with others who have faced similar problems. Mutual help groups, such as Alcoholics Anonymous (AA) 12-step programs, help people recover from alcohol use disorder. AA meetings are open to anyone who wants to stop drinking. Attending mutual-help groups is beneficial for many people who want to stop drinking. Many people continue to go to support/mutual help groups even after medical treatment for their alcohol problems ends. There are other mutual help groups available such as Smart Recovery, Life Ring, and Moderation Management.  Learn more about available types of treatment for alcohol problems."
What is (are) Alcohol Use and Older Adults ?,0000002-30,information,"Some people with an alcohol use disorder are treated in a facility, such as a hospital, mental health center, or substance abuse clinic. Treatment may last as long as several weeks. This type of treatment typically involves detoxification (when a person is weaned from alcohol), medicine, and counseling.  Learn more about treatment settings for alcohol problems.   Use the Behavioral Health Treatment Services Locator to find a treatment facility."
What are the treatments for Alcohol Use and Older Adults ?,0000002-31,treatment,"Most people with alcohol problems can be treated successfully. People with an alcohol use disorder and those who misuse alcohol and cannot stay within healthy drinking limits should stop drinking altogether. Others can cut back until their drinking is under control. Changing drinking habits isnt easy. Often it takes more than one try to succeed. But people dont have to go it alone. There are plenty of sources of help. (Watch the video to learn more about getting help for alcohol use disorder (AUD). To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.) A doctor can help decide the best treatment for people with alcohol problems. Many people need more than one kind of treatment. Medicines can help people with an alcohol use disorder quit drinking. Meeting with a therapist or substance-abuse counselor or with a support group may also help. Support from family and friends is important, too. Making a change sooner rather than later makes treatment more likely to succeed. When treatment is successful, people have longer and longer periods without drinking alcohol. Finally, they are able to stop drinking or stick to healthy drinking limits. But treatment does not always work. Relapse is common among people who overcome alcohol problems. People with drinking problems are most likely to relapse during periods of stress or when exposed to people or places associated with past drinking.  Learn more about the treatment process for alcohol use disorder."
What are the treatments for Alcohol Use and Older Adults ?,0000002-33,treatment,Older people with alcohol problems respond to treatment as well as younger people. Some studies suggest that older adults do better when they are treated with other people the same age instead of mixed in with younger adults. Some communities have treatment programs and support groups specifically for older adults.
How to diagnose Alzheimer's Caregiving ?,0000003-1,exams and tests,"Now that your family member or friend has received a diagnosis of Alzheimers disease, its important to learn as much as you can about the disease and how to care for someone who has it. You may also want to know the right way to share the news with family and friends. Learning About Alzheimers Sometimes, you may feel that you don't know how to care for the person with Alzheimers. This is a common feeling among caregivers of people with Alzheimers because each day may bring different challenges. Learning about the disease can help you understand and cope with these challenges. Here is some information about Alzheimers and ways you can learn more about it. Alzheimers disease is an illness of the brain. It causes large numbers of nerve cells in the brain to die. This affects a persons ability to remember things and think clearly. People with Alzheimers become forgetful and easily confused and may have a hard time concentrating. They may have trouble taking care of themselves and doing basic things like making meals, bathing, and getting dressed. Alzheimers varies from person to person. It can progress faster in some people than in others, and not everyone will have the same symptoms. In general, though, Alzheimers takes many years to develop, becoming increasingly severe over time. As the disease gets worse, people need more help. Eventually, they require total care. Alzheimer's disease consists of three main stages: mild (sometimes called early-stage), moderate, and severe (sometimes called late-stage). Understanding these stages can help you care for your loved one and plan ahead. Mild Alzheimers Disease In the mild stage of Alzheimers, people often have some memory loss and small changes in personality. They may have trouble remembering recent events or the names of familiar people or things. They may no longer be able to solve simple math problems or balance a checkbook. People with mild Alzheimers also slowly lose the ability to plan and organize. For example, they may have trouble making a grocery list and finding items in the store. Moderate Alzheimers Disease In the moderate stage of Alzheimers, memory loss and confusion become more obvious. People have more trouble organizing, planning, and following instructions. They may need help getting dressed and may start having problems with bladder or bowel control. People with moderate Alzheimers may have trouble recognizing family members and friends. They may not know where they are or what day or year it is. They also may begin to wander, so they should not be left alone. Personality changes can become more serious. For example, people may make threats or accuse others of stealing. Severe Alzheimers Disease In the severe stage of Alzheimer's, people usually need help with all of their daily needs. They may not be able to walk or sit up without help. They may not be able to talk and often cannot recognize family members. They may have trouble swallowing and refuse to eat. For a short overview of Alzheimers, see  Understanding Alzheimers Disease: What You Need to Know. Learn More About Alzheimers Disease So far, there is no cure for Alzheimers, but there are treatments that can prevent some symptoms from getting worse for a limited time. Here are some ways you can learn more about Alzheimers disease. - Talk with a doctor or other healthcare provider who specializes in Alzheimers disease.   - Check out books or videos about Alzheimers from the library.   - Go to educational programs about the disease.   - Visit the website of the National Institute on Agings Alzheimers Disease Education and Referral (ADEAR) Center. The Institute has a guide, Caring for a Person with Alzheimers Disease,which can be viewed online and ordered in print.   - Read about  Alzheimers disease on NIHSeniorHealth.  - Find a support group for caregivers, ideally one in which members are taking care of someone who is in the same stage of Alzheimers as the person you are caring for.  Talk with a doctor or other healthcare provider who specializes in Alzheimers disease. Check out books or videos about Alzheimers from the library. Go to educational programs about the disease. Visit the website of the National Institute on Agings Alzheimers Disease Education and Referral (ADEAR) Center. The Institute has a guide, Caring for a Person with Alzheimers Disease,which can be viewed online and ordered in print. Read about  Alzheimers disease on NIHSeniorHealth. Find a support group for caregivers, ideally one in which members are taking care of someone who is in the same stage of Alzheimers as the person you are caring for. Talking With Family and Friends When you learn that someone has Alzheimers disease, you may wonder when and how to tell your family and friends. You may be worried about how others will react to or treat the person. Others often sense that something is wrong before they are told. Alzheimers disease is hard to keep secret. When the time seems right, be honest with family, friends, and others. Use this as a chance to educate them about Alzheimers disease. You can share information to help them understand what you and the person with Alzheimers are going through. You can also tell them what they can do to help. You can help family and friends understand how to interact with the person who has Alzheimers. - Help them realize what the person can still do and how much he or she can still understand.  - Give them suggestions about how to start talking with the person. For example, ""Hello George, I'm John. We used to work together.""  - Help them avoid correcting the person with Alzheimers if he or she makes a mistake or forgets something.  - Help them plan fun activities with the person, such as going to family reunions or visiting old friends. Help them realize what the person can still do and how much he or she can still understand. Give them suggestions about how to start talking with the person. For example, ""Hello George, I'm John. We used to work together."" Help them avoid correcting the person with Alzheimers if he or she makes a mistake or forgets something. Help them plan fun activities with the person, such as going to family reunions or visiting old friends. Helping Children Understand Alzheimers If the person with Alzheimers has young children or grandchildren, you can help them understand what is happening. Answer their questions simply and honestly. For example, you might tell a young child, ""Grandma has an illness that makes it hard for her to remember things."" Know that their feelings of sadness and anger are normal. Comfort them. Tell them they didn't cause the disease. If the child lives with someone who has Alzheimers, don't expect him or her to ""babysit"" the person. Make sure the child has time for his or her own interests and needs, such as playing with friends and going to school activities. Spend time with the child, so he or she doesn't feel that all your attention is on the person with Alzheimers. Many younger children will look to you to see how to act around the person with Alzheimers disease. Show children they can still talk with the person and help them enjoy things. Doing fun things together, like arts and crafts or looking through photo albums, can help both the child and the person with Alzheimer's. Challenges for Teens A teenager might find it hard to accept how the person with Alzheimers has changed. He or she may find the changes upsetting or embarrassing and not want to be around the person. Talk with teenagers about their concerns and feelings. Don't force them to spend time with the person who has Alzheimers.  Get more information about helping family and friends understand Alzheimers disease."
What to do for Alzheimer's Caregiving ?,0000003-6,considerations,"Most people with Alzheimers disease are cared for at home by family members. Within families, caregiving is provided most often by wives and husbands, followed by daughters. As Alzheimers disease gets worse, the person will need more and more care. Because of this, you will need more help. It's okay to seek help whenever you need it. Building a local support system is a key way to get help. This system might include a caregiver support group, the local chapter of the Alzheimer's Association, family, friends, and faith groups. To learn where to get help in your community, contact - the Alzheimers Disease Education and Referral (ADEAR) Center, 1-800-438-4380 or visit www.nia.nih.gov/alzheimers  - the Alzheimer's Association at 1-800-272-3900.  the Alzheimers Disease Education and Referral (ADEAR) Center, 1-800-438-4380 or visit www.nia.nih.gov/alzheimers the Alzheimer's Association at 1-800-272-3900. Various professional services can help with everyday care in the home of someone with Alzheimers disease. Medicare, Medicaid, and other health insurance plans may help pay for these services. Contact Eldercare Locator to find the services you need in your area by calling 1-800-677-1116 or visiting  www.eldercare.gov. Home Health Care Services Home health care agencies send a home health aide or nurse to your home to help you care for a person with Alzheimers. They may come for a few hours or stay for 24 hours and are paid by the hour. Some home health aides are better trained and supervised than others. Ask your doctor or other health care professional about good home health care services in your area. Get as much information as possible about a service before you sign an agreement. Also, ask for and check references Here are some questions to ask before signing a home health care agreement. - Is your service licensed and accredited?  - How much do your services cost?  - What is included and not included in your services?  - How many days a week and hours a day will an aide come to my home?   - How do you check the background and experience of your home health aides?   - How do you train your home health aides?   - What types of emergency care can you provide?   - Who do I contact if there is a problem?  Is your service licensed and accredited? How much do your services cost? What is included and not included in your services? How many days a week and hours a day will an aide come to my home? How do you check the background and experience of your home health aides? How do you train your home health aides? What types of emergency care can you provide? Who do I contact if there is a problem? For information about how to find home health care services, see Caring for a Person with Alzheimers Disease. Meal Services Meal services bring hot meals to the person's home or your home. The delivery staff does not feed the person. The person with Alzheimers disease must qualify for the service based on local guidelines. Some groups do not charge for their services. Others may charge a small fee. For information, call Eldercare Locator at 1-800-677-1116 or go to  www.eldercare.gov. You may also contact Meals on Wheels at 1-888-998-6325. Adult Day Care Services Adult day care services provide a safe environment, activities, and staff who take care of the person with Alzheimers at their own facility. This provides a much-needed break for you. Many programs provide transportation between the persons home and the facility. Adult day care services generally charge by the hour. Most insurance plans do not cover these costs. To find adult day care services in your area, contact the National Adult Day Services Association at 1-877-745-1440. Watch a video to learn more about the services provided at adult day care.  Respite Services Respite services provide short stays, from a few days to a few weeks, in a nursing home or other place for the person with Alzheimers disease. This care allows you to get a break or go on a vacation. Respite services charge by the number of days or weeks that services are provided. Medicare or Medicaid may cover the cost of up to 5 days in a row of respite care in an inpatient facility. Most private insurance plans do not cover these costs. To find respite services in your community, call the National Respite Locator Service at 1-800-773-5433 (toll-free). Geriatric Care Managers Geriatric care managers visit your home to assess your needs and suggest and arrange home-care services. They charge by the hour. Most insurance plans don't cover these costs. To find a geriatric care manager, contact the National Association of Professional Geriatric Care Managers at 1-520-881-8008. Mental Health Professionals and Social Workers Mental health professionals and social workers help you deal with any stress you may be feeling. They help you understand feelings, such as anger, sadness, or feeling out of control. They can also help you make plans for unexpected or sudden events. Mental health professionals charge by the hour. Medicare, Medicaid, and some private health insurance plans may cover some of these costs. Ask your health insurance plan which mental health counselors and services it covers. Then check with your doctor, local family service agencies, and community mental health agencies for referrals to counselors."
What is (are) Alzheimer's Caregiving ?,0000003-12,information,"Alzheimers disease is an illness of the brain. It causes large numbers of nerve cells in the brain to die. This affects a persons ability to remember things and think clearly. People with Alzheimers become forgetful and easily confused and may have a hard time concentrating. They may have trouble taking care of themselves and doing basic things like making meals, bathing, and getting dressed. Alzheimers varies from person to person. It can progress faster in some people than in others, and not everyone will have the same symptoms. In general, though, Alzheimers takes many years to develop, becoming increasingly severe over time. As the disease gets worse, people need more help. Eventually, they require total care. For a short overview of Alzheimers, see  Understanding Alzheimers Disease: What You Need to Know."
What is (are) Alzheimer's Caregiving ?,0000003-13,information,"Alzheimers disease has three stages: early (also called mild), middle (moderate), and late (severe). Understanding these stages can help you care for your loved one and plan ahead. A person in the early stage of Alzheimers disease may find it hard to remember things, ask the same questions over and over, lose things, or have trouble handling money and paying bills. As Alzheimers disease progresses to the middle stage, memory loss and confusion grow worse, and people may have problems recognizing family and friends. Other symptoms at this stage may include difficulty learning new things and coping with new situations; trouble carrying out tasks that involve multiple steps, like getting dressed; forgetting the names of common things; and wandering away from home. As Alzheimers disease becomes more severe, people lose the ability to communicate. They may sleep more, lose weight, and have trouble swallowing. Often they are incontinentthey cannot control their bladder and/or bowels. Eventually, they need total care."
What are the treatments for Alzheimer's Caregiving ?,0000003-14,treatment,"Currently, no medication can cure Alzheimers disease, but four medicines are approved to treat the symptoms of the disease. - Aricept (donezepil)for all stages of Alzheimers  - Exelon (rivastigmine)for mild to moderate Alzheimers  - Razadyne (galantamine)--for mild to moderate Alzheimers  - Namenda (memantine)for moderate to severe Alzheimers  -  Namzarec (memantine and donepezil)for moderate to severe Alzheimers Aricept (donezepil)for all stages of Alzheimers Exelon (rivastigmine)for mild to moderate Alzheimers Razadyne (galantamine)--for mild to moderate Alzheimers Namenda (memantine)for moderate to severe Alzheimers Namzarec (memantine and donepezil)for moderate to severe Alzheimers These medications can help slow down memory loss and allow people with Alzheimers to be more comfortable and independent for a longer time. If appropriate, the persons doctor may prescribe a medicine to treat behavior problems such as anxiety, depression, and aggression. Medicines to treat these behavior problems should be used only after other strategies have been tried. Talk with the doctor about which medicines are safest and most effective."
What is (are) Alzheimer's Caregiving ?,0000003-15,information,"Here are some ways you can learn more about Alzheimers disease. - Talk with a doctor or other healthcare provider who specializes in Alzheimers disease.  - Check out books or videos about Alzheimers from the library.  - Go to educational programs about the disease.   - Visit the website of the National Institute on Aging's  Alzheimer's Disease and Referral Center (ADEAR).   - The National Institute on Aging has a book, Caring for a Person with Alzheimers Disease, that can be viewed and ordered at www.nia.nih.gov/alzheimers/publication/caring-person-alzheimers-disease  -  Read about  Alzheimer's disease on NIHSeniorHealth. Talk with a doctor or other healthcare provider who specializes in Alzheimers disease. Check out books or videos about Alzheimers from the library. Go to educational programs about the disease. Visit the website of the National Institute on Aging's  Alzheimer's Disease and Referral Center (ADEAR). The National Institute on Aging has a book, Caring for a Person with Alzheimers Disease, that can be viewed and ordered at www.nia.nih.gov/alzheimers/publication/caring-person-alzheimers-disease Read about  Alzheimer's disease on NIHSeniorHealth."
