question,question_id,question_type,answer,focus,id,source,url,cui,semanticType,semanticGroup
Who is at risk for Alkhurma Hemorrhagic Fever (AHF)? ?,0000008-1,susceptibility,"Transmission of AHFV is not well understood. AHFV is a zoonotic virus, and its described tick hosts (the soft tick Ornithodoros savignyi and the hard tick Hyalomma dromedari) are widely distributed. People can become infected through a tick bite or when crushing infected ticks. Epidemiologic studies indicate that contact with domestic animals or livestock may increase the risk of human infection. No human-to-human transmission of AHF has been documented.  Although livestock animals may provide blood meals for ticks, it is thought that they play a minor role in transmitting AHFV to humans. No transmission through non-pasteurized milk has been described, although other tick-borne flaviviruses have been transmitted to humans through this route.",Alkhurma Hemorrhagic Fever (AHF),0000008,CDC,http://www.cdc.gov/vhf/alkhurma/,,,
What are the symptoms of Alkhurma Hemorrhagic Fever (AHF) ?,0000008-2,symptoms,"Based on limited information, after an incubation period that could be as short as 2-4 days, the disease presents initially with non-specific flu-like symptoms, including fever, anorexia (loss of appetite), general malaise, diarrhea, and vomiting; a second phase has appeared in some patients, and includes neurologic and hemorrhagic symptoms in severe form. Multi-organ failure precedes fatal outcomes. No repeated or chronic symptoms have been reported following recovery. Evidence suggests that a milder form may exist, where hospitalization is not required.                 Thrombocytopenia, leukopenia, and elevated liver enzymes are nearly always observed in patients who have been hospitalized.",Alkhurma Hemorrhagic Fever (AHF),0000008,CDC,http://www.cdc.gov/vhf/alkhurma/,,,
Who is at risk for Alkhurma Hemorrhagic Fever (AHF)? ?,0000008-3,susceptibility,"Contact with  livestock with tick exposure are risk factors for humans, as is contact with infected ticks, whether through crushing the infected tick with unprotected fingers or by a bite from an infected tick. Slaughtering of animals which may acutely but asymptomatically infected may also be a risk factor, as it is possible that infected animals develop a viremia without obvious clinical signs.",Alkhurma Hemorrhagic Fever (AHF),0000008,CDC,http://www.cdc.gov/vhf/alkhurma/,,,
How to diagnose Alkhurma Hemorrhagic Fever (AHF) ?,0000008-4,exams and tests,"Clinical diagnosis could be difficult due to similarities between AVHF, Crimean-Congo Hemorrhagic fever (CCHF), and Rift Valley fever (RVF), which occur in similar geographic areas. Laboratory diagnosis of AHF can be made in the early stage of the illness by molecular detection by PCR or virus isolation from blood. Later, serologic testing using enzyme-linked immunosorbent serologic assay (ELISA) can be performed.",Alkhurma Hemorrhagic Fever (AHF),0000008,CDC,http://www.cdc.gov/vhf/alkhurma/,,,
What are the treatments for Alkhurma Hemorrhagic Fever (AHF) ?,0000008-5,treatment,"There is no standard specific treatment for the disease. Patients receive supportive therapy, which consists of balancing the patient’s fluid and electrolytes, maintaining oxygen status and blood pressure, and treatment for any complications. Mortality in hospitalized patients ranges from 1-20%.",Alkhurma Hemorrhagic Fever (AHF),0000008,CDC,http://www.cdc.gov/vhf/alkhurma/,,,
How to prevent Alkhurma Hemorrhagic Fever (AHF) ?,0000008-6,prevention,"Given that no treatment or specific prophylaxis is presently available, prevention and increased awareness of AHFV are the only recommended measures. Complete control of ticks and interruption of the virus life cycle is impractical; in endemic regions, it is important to avoid tick-infested areas and to limit contact with livestock and domestic animals.                  Individuals should use tick repellants on skin and clothes and check skin for attached ticks, removing them as soon as possible. Tick collars are available for domestic animals, and dipping in acaricides is effective in killing ticks on livestock. People working with animals or animal products in farms or slaughterhouses should avoid unprotected contact with the blood, fluids, or tissues of any potentially infected or viremic animals.",Alkhurma Hemorrhagic Fever (AHF),0000008,CDC,http://www.cdc.gov/vhf/alkhurma/,,,
What are the symptoms of Anaplasmosis ?,0000014-1,symptoms,"Anaplasmosis is a disease caused by the bacterium Anaplasma phagocytophilium. This pathogen is transmitted to humans by the bite of an infected tick. The black-legged tick (Ixodes scapularis) is the vector of A. phagocytophilum in the northeast and upper midwestern United States. The western black-legged tick (Ixodes pacificus) is the primary vector in Northern California. The first symptoms of anaplasmosis typically begin within 1-2 weeks after the bite of an infected tick. A tick bite is usually painless, and some patients who develop anaplasmosis do not remember being bitten. The following is a list of symptoms commonly seen with this disease. However, it is important to note that few people with the disease will develop all symptoms, and the number and combination of symptoms varies greatly from person to person.     - Fever   - Headache   - Muscle pain   - Malaise   - Chills   - Nausea / Abdominal pain   - Cough   - Confusion   - Rash (rare with anaplasmosis)    Anaplasmosis can be a serious illness that can be fatal if not treated correctly, even in previously healthy people.  Severe clinical presentations may include difficulty breathing, hemorrhage, renal failure or neurological problems. The estimated case fatality rate (i.e., the proportion of persons who die as a result of their infection) is less than 1%. Patients who are treated early may recover quickly on outpatient medication, while those who experience a more severe course may require intravenous antibiotics, prolonged hospitalization or intensive care.    Rash  Rash is rarely reported in patients with anaplasmosis and the presence of a rash may signify that the patient has a coinfection with the pathogen that causes Lyme disease or another tickborne disease, such as Rocky Mountain Spotted Fever .    Immune-compromised Individuals  The severity of anaplasmosis may depend in part on the immune status of the patient. Persons with compromised immunity caused by immunosuppressive therapies (e.g., corticosteroids, cancer chemotherapy, or longterm immunosuppressive therapy following organ transplant), HIV infection, or splenectomy appear to develop more severe disease, and case-fatality rates for these individuals are characteristically higher than case-fatality rates reported for the general population.    Blood Transfusion and Organ Transplant Risks Associated with Anaplasma species  Because A. phagocytophilum infects the white blood cells and circulates in the blood stream, this pathogen may pose a risk to be transmitted through blood transfusions. Anaplasma phagocytophilum has been shown to survive for more than a week in refrigerated blood. Several cases of anaplasmosis have been reported associated with the transfusion of packed red blood cells donated from asymptomatic or acutely infected donors. Patients who develop anaplasmosis within a month of receiving a blood transfusion or solid organ transplant should be reported to state health officials for prompt investigation. Use of leukoreduced blood products may theoretically decrease the risk of transfusion-associated transmission of these pathogens.  However, the filtration process does not remove all leukocytes or bacteria not associated with leukocytes from leukoreduced blood. Therefore, while this process may reduce the risk of transmission, it does not eliminate it completely.    Physician Diagnosis  There are several aspects of anaplasmosis that make it challenging for healthcare providers to diagnose and treat.  The symptoms vary from patient to patient and can be difficult to distinguish from other diseases.  Treatment is more likely to be effective if started early in the course of disease. Diagnostic tests based on the detection of antibodies will frequently appear negative in the first 7-10 days of illness.  For this reason, healthcare providers must use their judgment to treat patients based on clinical suspicion alone. Healthcare providers may find important information in the patient’s history and physical examination that may aid clinical diagnosis. Information such as recent tick bites, exposure to areas where ticks are likely to be found, or history of recent travel to areas where anaplasmosis is endemic can be helpful in making the diagnosis.  The healthcare provider should also look at routine blood tests, such as a complete blood cell count or a chemistry panel. Clues such as a low platelet count (thrombocytopenia), low white blood cell count (leukopenia), or elevated liver enzyme levels are helpful predictors of anaplasmosis, but may not be present in all patients.   After a suspect diagnosis is made on clinical suspicion and treatment has begun, specialized laboratory testing should be used to confirm the diagnosis of anaplasmosis.                   Laboratory Detection  During the acute phase of illness, a sample of whole blood can be tested by polymerase chain reaction (PCR) assay to determine if a patient has anaplasmosis. This method is most sensitive in the first week of illness, and rapidly decreases in sensitivity following the administration of appropriate antibiotics. Although a positive PCR result is helpful, a negative result does not completely rule out the diagnosis, and treatment should not be with held due to a negative result.  During the first week of illness a microscopic examination of blood smears (known as a peripheral blood smear) may reveal morulae (microcolonies of anaplasma) in the cytoplasm of white blood cells in up to 20% of patients.  During A. phagocytophilum infection, morulae are most frequently observed in granulocytes. However, the observance of morulae in a particular cell type cannot conclusively identify the infecting species. Culture isolation of A. phagocytophilum is only available at specialized laboratories; routine hospital blood cultures cannot detect the organism.  Figure 1: Morulae detected in a granulocyte on a peripheral blood smear, associated with A. phagocytophilum infection.                     When a person develops anaplasmosis, their immune system produces antibodies to A. phagocytophilum, with detectable antibody titers usually observed by 7-10 days after illness onset.  It is important to note that a negative test during the first week of illness does not rule out anaplasmosis as a cause of illness.   The gold standard serologic test for diagnosis of anaplasmosis is the indirect immunofluorescence assay (IFA) using A. phagocytophilum antigen, performed on paired serum samples to demonstrate a significant (four-fold) rise in antibody titers.  The first sample should be taken as early in the disease as possible, preferably in the first week of symptoms, and the second sample should be taken 2 to 4 weeks later. In most cases of anaplasmosis, the first IgG IFA titer is typically low, or “negative,” and the second typically shows a significant (four-fold) increase in IgG antibody levels. IgM antibodies usually rise at the same time as IgG near the end of the first week of illness and remain elevated for months or longer.  Also, IgM antibodies are less specific than IgG antibodies and more likely to result in a false positive.  For these reasons, physicians requesting IgM serologic titers should also request a concurrent IgG titer.  Serologic tests based on enzyme immunoassay (EIA) technology are available from some commercial laboratories. However, EIA tests are qualitative rather than quantitative, meaning they only provide a positive/negative result, and are less useful to measure changes in antibody titers between paired specimens. Furthermore, some EIA assays rely on the evaluation of IgM antibody alone, which may have a higher frequency of false positive results.  Antibodies to A. phagocytophilum may remain elevated for months or longer after the disease has resolved, or may be detected in persons who were previously exposed to antigenically related organisms.  Between 5-10% of currently healthy people in some areas may have elevated antibody titers due to past exposure to A. phagocytophilum or similar organisms. Therefore, if only one sample is tested it can be difficult to interpret, while paired samples taken weeks apart demonstrating a significant (four-fold) rise in antibody titer provides the best evidence for a correct diagnosis of anaplasmosis.  For more in-depth information about the diagnosis of anaplasmosis, please visit http://www.cdc.gov/mmwr/preview/mmwrhtml/rr5504a1.htm    Treatment  Doxycycline is the first line treatment for adults and children of all ages and should be initiated immediately whenever anaplasmosis is suspected.   Use of antibiotics other than doxycycline or other tetracyclines has been associated with a higher risk of fatal outcome for some rickettsial infections. Doxycycline is most effective at preventing severe complications from developing if it is started early in the course of disease. Therefore, treatment must be based on clinical suspicion alone and should always begin before laboratory results return.  If the patient is treated within the first 5 days of the disease, fever generally subsides within 24-72 hours.  In fact, failure to respond to doxycycline suggests that the patient’s condition might not be due to anaplasmosis. Severely ill patients may require longer periods before their fever resolves. Resistance to doxcycline or relapses in symptoms after the completion of the recommended course have not been documented.   Recommended DosageDoxycycline is the first line treatment for adults and children of all ages:     - Adults: 100 mg every 12 hours   - Children under 45 kg (100 lbs): 2.2 mg/kg body weight given twice a day    Patients should be treated for at least 3 days after the fever subsides and until there is evidence of clinical improvement. Standard duration of treatment is 7 to 14 days. Some patients may continue to experience headache, weakness and malaise for weeks after adequate treatment.  Treating children  The use of doxycycline to treat suspected anaplasmosis in children is standard practice recommended by both CDC and the AAP Committee on Infectious Diseases. Unlike older generations of tetracyclines, the recommended dose and duration of medication needed to treat anaplasmosis has not been shown to cause staining of permanent teeth, even when five courses are given before the age of eight.  Healthcare providers should use doxycycline as the first-line treatment for suspected anaplasmosis in patients of all ages.   Other Treatments  In cases of life threatening allergies to doxycycline and in some pregnant patients for whom the clinical course of anaplasmosis appears mild, physicians may need to consider alternate antibiotics. Although recommended as a second-line therapeutic alternative to treat Rocky Mountain Spotted Fever , chloramphenicol is not recommended for the treatment of anaplasmosis, as studies have shown a lack of efficacy. Rifampin has been used successfully in several pregnant women with anaplasmosis, and studies suggest that this drug appears effective against Anaplasma species. However, rifampin is not effective in treating RMSF, a disease that may be confused with anaplasmosis. Healthcare providers should be cautious when exploring treatments other than doxycycline, which is highly effective in treating both. Other antibiotics, including broad spectrum antibiotics are not considered highly effective against A. phagocytophilum, and the use of sulfa drugs during acute illness may worsen the severity of infection.   Prophylaxis (Preventive Treatment)  Antibiotic treatment following a tick bite is not recommended as a means to prevent anaplasmosis. There is no evidence this practice is effective, and this may simply delay onset of disease. Instead, persons who experience a tick bite should be alert for symptoms suggestive of tickborne illness and consult a physician if fever, rash, or other symptoms of concern develop.   For more in-depth information about treatment, please visit http://www.cdc.gov/mmwr/preview/mmwrhtml/rr5504a1.htm    Other Considerations  The clinical presentation for anaplasmosis can resemble other tickborne diseases, such as Rocky Mountain Spotted Fever and ehrlichiosis. Similar to anaplasmosis, these infections respond well to treatment with doxycycline. Healthcare providers should order diagnostic tests for additional agents if the clinical history and geographic association warrant. For more in-depth about other similar tickborne diseases, please visit http://www.cdc.gov/mmwr/preview/mmwrhtml/rr5504a1.htm .",Anaplasmosis,0000014,CDC,http://www.cdc.gov/anaplasmosis/,,,
What is (are) Anaplasmosis ?,0000014-3,information,"More detailed information on the diagnosis, management, and treatment of anaplasmosis is available in Diagnosis and Management of Tickborne Rickettsial Diseases: Rocky Mountain Spotted Fever, Ehrlichioses, and Anaplasmosis – United States.*Case definitions have been updated since publication  How to Contact the Rickettsial Zoonoses Branch at CDC  The general public and healthcare providers should first call 1-800-CDC-INFO (1-800-232-4636) for questions regarding RMSF and other rickettsial diseases. If a consultation with a CDC scientist specializing in rickettsial diseases is advised, your call will be appropriately forwarded.  Case Definitions  2008 Case Definition  Case Report Forms  For confirmed and probable cases of anaplasmosis that have been identified and reported through the National Notifiable Disease Surveillance System, states are also encouraged to submit additional information using the CDC Case Report Form (CRF). This form collects additional important information that routine electronic reporting does not, such as information on how the diagnosis was made, and whether the patient was hospitalized or died. If a different state-specific form is already used to collect this information, this information may be submitted to CDC in lieu of a CRF.  2010 CDC Case Report Form: Tickborne Rickettsial Diseases (2010 version) [PDF – 3 pages]  How to Submit Specimens to CDC for RMSF Testing  Private citizens may not directly submit specimens to CDC for testing. If you feel that diagnostic testing is necessary, consult your healthcare provider or state health department.  State Health Departments  Specimens may be submitted to CDC for testing for anaplasmosis. To coordinate specimen submission, please call 404-639-1075 during business hours (8:00 - 4:30 ET).  U.S. Healthcare Providers:  U.S. healthcare providers should not submit specimens for testing directly to CDC. CDC policy requires that specimens for testing be submitted through or with the approval of the state health department. Please contact your state health department, who will assist you with specimen submission and reporting of infection. For general questions about anaplasmosis, please call 1-800-CDC-INFO (1-800-232-4636). If you have questions about a suspect ehrlichiosis case, please first consult your state health department. Healthcare providers requiring an epidemiologic or laboratory consultation on anaplasmosis may also call 404-639-1075 during business hours (8:00 - 4:30 ET). Or 770-488-7100 after hours.  Non U.S. Healthcare Providers:  Non-U.S. healthcare providers should consult CDC prior to submitting specimens for testing. For general questions about anaplasmosis, please call 1-800-CDC-INFO (1-800-232-4636). If you would like to discuss a suspect anaplasmosis case with CDC, please call 404-639-1075 during business hours (8:00 - 4:30 ET), or 770-488-7100 after hours.",Anaplasmosis,0000014,CDC,http://www.cdc.gov/anaplasmosis/,,,
What is (are) Parasites - Angiostrongyliasis (also known as Angiostrongylus Infection) ?,0000015-2,information,Angiostrongylus cantonensis is a parasitic worm of rats. It is also called the rat lungworm. The adult form of the parasite is found only in rodents. Infected rats pass larvae of the parasite in their feces. Snails and slugs get infected by ingesting the larvae. These larvae mature in snails and slugs but do not become adult worms. The life cycle is completed when rats eat infected snails or slugs and the larvae further mature to become adult worms.,Parasites - Angiostrongyliasis (also known as Angiostrongylus Infection),0000015,CDC,http://www.cdc.gov/parasites/angiostrongylus/,,,
Who is at risk for Parasites - Angiostrongyliasis (also known as Angiostrongylus Infection)? ?,0000015-3,susceptibility,"Angiostrongylus cantonensis    Angiostrongylus cantonensis, also known as the rat lungworm, is a parasitic nematode (worm) that is transmitted between rats and mollusks (such as slugs or snails) in its natural life cycle. Other animals that become infected such as freshwater shrimp, land crabs, frogs, and planarians of the genus Platydemus, are transport hosts that are not required for reproduction of the parasite but might be able to transmit infection to humans if eaten raw or undercooked. Humans are accidental hosts who do not transmit infection to others. Most cases of infection are diagnosed in Southeast Asia and the Pacific Basin, but the parasite has also been found in Australia, some areas of Africa, the Caribbean, Hawaii and Louisiana. Outbreaks of human angiostrongyliasis have involved a few to hundreds of persons; over 2,800 cases have been reported in the literature from approximately 30 countries. It is likely that the parasite has been spread by rats transported on ships and by the introduction of mollusks such as the giant African land snail (Achatina fulica). In addition, the semi-slug, Parmarion martensi (native of Southeast Asia)has spread in regions of Hawaii and is found to often be infected with A. cantonensis, and the freshwater snail Pomacea canaliculata (native of South America) has been introduced into Taiwan and China and has been implicated in outbreaks of disease in those countries.    Risk factors for infection with A. cantonensis include the ingestion of raw or undercooked infected snails or slugs; or pieces of snails and slugs accidentally chopped up in vegetables, vegetable juices, or salads; or foods contaminated by the slime of infected snails or slugs. It is possible that ingestion of raw or undercooked transport hosts (freshwater shrimp, land crabs, frogs, etc. ) can result in human infection, though this is less certain. In addition, contamination of the hands during the preparation of uncooked infected snails or slugs could lead to ingestion of the parasite.             Angiostrongylus costaricensis    Angiostrongylus costaricensis is a parasitic nematode (worm) that resides in rodents and uses mollusks, such as slugs, as an intermediate host. Rats, such as the cotton rat, transmit the larvae through their feces. Slugs then ingest the larvae. Humans are accidental hosts of the parasite. The parasite is not able to complete its life cycle in humans and eventually dies in the abdomen. Human infection principally occurs in Latin America and the Caribbean, with a few cases suspected in the United States and in the Republic of Congo. The organism is also found in animals in the Southern U.S. (Texas).    Risk factors for infection with A. costaricensis are not well established but are likely to be ingestion of infected slugs or raw vegetables or vegetable juices contaminated with slugs or their slime, which can contain A. costaricensis larvae. The infection of transport hosts, which are not essential to the lifecycle of the parasite, has not been identified and any role in human infection is not known, in contrast to A. cantonensis. Some reports have shown the case rate to be higher in children 6 to 12 years of age, males, and in persons of higher socioeconomic status. There has been one food-related outbreak in Guatemala that affected primarily adults.",Parasites - Angiostrongyliasis (also known as Angiostrongylus Infection),0000015,CDC,http://www.cdc.gov/parasites/angiostrongylus/,,,
How to diagnose Parasites - Angiostrongyliasis (also known as Angiostrongylus Infection) ?,0000015-6,exams and tests,"Angiostrongylus cantonensis    Diagnosing A. cantonensis infections can be difficult, in part because there are no readily available blood tests. Important clues that could lead to the diagnosis of infection are a history of travel to where the parasite is known to be found and ingestion of raw or undercooked snails, slugs, or possibly transport hosts (such as frogs, fresh water shrimp or land crabs) in those areas. A high level of eosinophils, a blood cell that can be elevated in the presence of a parasite, in the blood or in the fluid that surrounds the brain can be another important clue. Persons worried that they might be infected should consult their health care provider.             Angiostrongylus costaricensis    Diagnosing A. costaricensis infections can be difficult, in part because there are no readily available blood tests. Important clues that could lead to the diagnosis of infection are a history of travel to where the parasite is known to be found and ingestion of raw or undercooked slugs or food contaminated by infected slugs or their slime. A high blood level of eosinophils, a blood cell that can be elevated in the presence of a parasite, can be another important clue. Persons worried that they might be infected should consult their health care provider.",Parasites - Angiostrongyliasis (also known as Angiostrongylus Infection),0000015,CDC,http://www.cdc.gov/parasites/angiostrongylus/,,,
What are the treatments for Parasites - Angiostrongyliasis (also known as Angiostrongylus Infection) ?,0000015-7,treatment,Angiostrongylus cantonensis    There is no specific treatment for A. cantonensis infection. There is some evidence that certain supportive treatments may reduce the severity of headache and the duration of symptoms. Persons with symptoms should consult their health care provider for more information.    Angiostrongylus costaricensis    There is no specific treatment for A. costaricensis infections. Most infections resolve spontaneously though sometime surgical treatment is necessary to removed portions of inflamed intestine. Persons with symptoms should consult their health care provider for more information.,Parasites - Angiostrongyliasis (also known as Angiostrongylus Infection),0000015,CDC,http://www.cdc.gov/parasites/angiostrongylus/,,,
How to prevent Parasites - Angiostrongyliasis (also known as Angiostrongylus Infection) ?,0000015-8,prevention,"Angiostrongylus cantonensis    Prevention of A. cantonensis infections involves educating persons residing in or traveling to areas where the parasite is found about not ingesting raw or undercooked snails and slugs, freshwater shrimp, land crabs, frogs, and monitor lizards, or potentially contaminated vegetables, or vegetable juice. Removing snails, slugs, and rats found near houses and gardens should also help reduce risk. Thoroughly washing hands and utensils after preparing raw snails or slugs is also recommended. Vegetables should be thoroughly washed if eaten raw.    Angiostrongylus costaricensis    Prevention of A. costaricensis infections involves educating persons residing in and traveling to areas where the parasite is known to be found about not ingesting raw or undercooked slugs or potentially contaminated vegetables or vegetable juices. Removing slugs and rats found near houses and gardens should help reduce risk. Thoroughly washing hands and utensils after preparing raw slugs is also recommended. Vegetables should be thoroughly washed if eaten raw.",Parasites - Angiostrongyliasis (also known as Angiostrongylus Infection),0000015,CDC,http://www.cdc.gov/parasites/angiostrongylus/,,,
What is (are) Parasites - Ascariasis ?,0000030-1,information,Ascaris is an intestinal parasite of humans. It is the most common human worm infection. The larvae and adult worms live in the small intestine and can cause intestinal disease.,Parasites - Ascariasis,0000030,CDC,http://www.cdc.gov/parasites/ascariasis/index.html,,,
Who is at risk for Parasites - Ascariasis? ?,0000030-2,susceptibility,"Ascaris infection is one of the most common intestinal worm infections. It is found in association with poor personal hygiene, poor sanitation, and in places where human feces are used as fertilizer.    Geographic Distribution    The geographic distributions of Ascaris are worldwide in areas with warm, moist climates and are widely overlapping. Infection occurs worldwide and is most common in tropical and subtropical areas where sanitation and hygiene are poor.",Parasites - Ascariasis,0000030,CDC,http://www.cdc.gov/parasites/ascariasis/index.html,,,
How to diagnose Parasites - Ascariasis ?,0000030-5,exams and tests,"The standard method for diagnosing ascariasis is by identifying Ascaris eggs in a stool sample using a microscope. Because eggs may be difficult to find in light infections, a concentration procedure is recommended.",Parasites - Ascariasis,0000030,CDC,http://www.cdc.gov/parasites/ascariasis/index.html,,,
What are the treatments for Parasites - Ascariasis ?,0000030-6,treatment,"Anthelminthic medications (drugs that rid the body of parasitic worms), such as albendazole and mebendazole, are the drugs of choice for treatment of Ascaris infections. Infections are generally treated for 1-3 days. The drugs are effective and appear to have few side effects.    More on: Resources for Health Professionals: Treatment",Parasites - Ascariasis,0000030,CDC,http://www.cdc.gov/parasites/ascariasis/index.html,,,
How to prevent Parasites - Ascariasis ?,0000030-7,prevention,"The best way to prevent ascariasis is to always:         - Avoid ingesting soil that may be contaminated with human feces, including where human fecal matter (""night soil"") or wastewater is used to fertilize crops.     - Wash your hands with soap and warm water before handling food.     - Teach children the importance of washing hands to prevent infection.     - Wash, peel, or cook all raw vegetables and fruits before eating, particularly those that have been grown in soil that has been fertilized with manure.        More on: Handwashing    Transmission of infection to others can be prevented by         - Not defecating outdoors.     - Effective sewage disposal systems.        More on: Handwashing",Parasites - Ascariasis,0000030,CDC,http://www.cdc.gov/parasites/ascariasis/index.html,,,
