question,question_id,question_type,answer
What is the outlook for Pompe Disease ?,0000003-3,outlook,"Without enzyme replacement therapy, the hearts of babies with infantile onset Pompe disease progressively thicken and enlarge. These babies die before the age of one year from either cardiorespiratory failure or respiratory infection. For individuals with late onset Pompe disease, the prognosis is dependent upon the age of onset. In general, the later the age of onset, the slower the progression of the disease. Ultimately, the prognosis is dependent upon the extent of respiratory muscle involvement."
what research (or clinical trials) is being done for Pompe Disease ?,0000003-4,research,"The National Institute of Neurological Disorders and Stroke (NINDS) supports Pompe research through grants to major research institutions across the country. Research related to Pompe disease is conducted in one of the laboratories of the National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS) at the National Institutes of Health. Much of Pompe-related research focuses on finding better ways to prevent, treat, and ultimately cure this disorder."
What is (are) Landau-Kleffner Syndrome ?,0000004-1,information,"Landau-Kleffner syndrome (LKS) is a rare, childhood neurological disorder characterized by the sudden or gradual development of aphasia (the inability to understand or express language) and an abnormal electro-encephalogram (EEG). LKS affects the parts of the brain that control comprehension and speech. The disorder usually occurs in children between the ages of 5 and 7 years. Typically, children with LKS develop normally but then lose their language skills for no apparent reason. While many of the affected individuals have seizures, some do not. The disorder is difficult to diagnose and may be misdiagnosed as autism, pervasive developmental disorder, hearing impairment, learning disability, auditory/verbal processing disorder, attention deficit disorder, childhood schizophrenia, or emotional/behavioral problems."
What are the treatments for Landau-Kleffner Syndrome ?,0000004-2,treatment,"Treatment for LKS usually consists of medications, such as anticonvulsants and corticosteroids, and speech therapy, which should be started early. A controversial treatment option involves a surgical technique called multiple subpial transection in which the pathways of abnormal electrical brain activity are severed"
What is the outlook for Landau-Kleffner Syndrome ?,0000004-3,outlook,"The prognosis for children with LKS varies. Some affected children may have a permanent severe language disorder, while others may regain much of their language abilities (although it may take months or years). In some cases, remission and relapse may occur. The prognosis is improved when the onset of the disorder is after age 6 and when speech therapy is started early. Seizures generally disappear by adulthood."
what research (or clinical trials) is being done for Landau-Kleffner Syndrome ?,0000004-4,research,"The NINDS supports broad and varied programs of research on epilepsy and developmental disorders. This research is aimed at discovering new ways to prevent, diagnose, and treat epilepsy and developmental disorders and, ultimately, to find cures for them."
What is (are) Acute Disseminated Encephalomyelitis ?,0000005-1,information,"Acute disseminated encephalomyelitis (ADEM) is characterized by a brief but widespread attack of inflammation in the brain and spinal cord that damages myelin  the protective covering of nerve fibers. ADEM often follows viral or bacterial infections, or less often, vaccination for measles, mumps, or rubella. The symptoms of ADEM appear rapidly, beginning with encephalitis-like symptoms such as fever, fatigue, headache, nausea and vomiting, and in the most severe cases, seizures and coma. ADEM typically damages white matter (brain tissue that takes its name from the white color of myelin), leading to neurological symptoms such as visual loss (due to inflammation of the optic nerve)in one or both eyes, weakness even to the point of paralysis, and difficulty coordinating voluntary muscle movements (such as those used in walking). ADEM is sometimes misdiagnosed as a severe first attack of multiple sclerosis (MS), since the symptoms and the appearance of the white matter injury on brain imaging may be similar. However, ADEM has several features which differentiate it from MS. First, unlike MS patients, persons with ADEM will have rapid onset of fever, a history of recent infection or immunization, and some degree of impairment of consciousness, perhaps even coma; these features are not typically seen in MS. Children are more likely than adults to have ADEM, whereas MS is a rare diagnosis in children. In addition, ADEM usually consists of a single episode or attack of widespread myelin damage, while MS features many attacks over the course of time. Doctors will often use imaging techniques, such as MRI (magnetic resonance imaging), to search for old and new lesions (areas of damage) on the brain. The presence of older brain lesions on MRI suggest that the condition may be MS rather than ADEM, since MS can cause brain lesions before symptoms become obvious. In rare situations, a brain biopsy may be necessary to differentiate between ADEM and some other diseases that involve inflammation and damage to myelin.."
What are the treatments for Acute Disseminated Encephalomyelitis ?,0000005-2,treatment,"Treatment for ADEM is targeted at suppressing inflammation in the brain using anti-inflammatory drugs. Most individuals respond to several days of intravenous corticosteroids such as methylprednisolone, followed by oral corticosteroid treatment. When corticosteroids fail to work, plasmapheresis or intravenous immunoglobulin therapy are possible secondary treatment options that are reported to help in some severe cases. Additional treatment is symptomatic and supportive."
What is the outlook for Acute Disseminated Encephalomyelitis ?,0000005-3,outlook,"Corticosteroid therapy typically helps hasten recovery from most ADEM symptoms. The long-term prognosis for individuals with ADEM is generally favorable. For most individuals, recovery begins within days, and within six months the majority of ADEM patients will have total or near total recoveries. Others may have mild to moderate lifelong impairment ranging from cognitive difficulties, weakness, loss of vision, or numbness. Severe cases of ADEM can be fatal but this is a very rare occurrence. ADEM can recur, usually within months of the initial diagnosis, and is treated by restarting corticosteroids. A small fraction of individuals who are initially diagnosed as having ADEM can go on to develop MS, but there is currently no method or known risk factors to predict whom those individuals will be."
what research (or clinical trials) is being done for Acute Disseminated Encephalomyelitis ?,0000005-4,research,"The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes of the National Institutes of Health (NIH) conduct research related to ADEM in laboratories at the NIH, and also support additional research through grants to major medical institutions across the country. Much of this research focuses on finding better ways to prevent, treat, and ultimately cure demyelinating disorders such as ADEM."
What is (are) Attention Deficit-Hyperactivity Disorder ?,0000006-1,information,"Attention deficit-hyperactivity disorder (ADHD) is a neurobehavioral disorder that affects 3-5 percent of all American children. It interferes with a person's ability to stay on a task and to exercise age-appropriate inhibition (cognitive alone or both cognitive and behavioral). Some of the warning signs of ADHD include failure to listen to instructions, inability to organize oneself and school work, fidgeting with hands and feet, talking too much, leaving projects, chores and homework unfinished, and having trouble paying attention to and responding to details. There are several types of ADHD: a predominantly inattentive subtype, a predominantly hyperactive-impulsive subtype, and a combined subtype. ADHD is usually diagnosed in childhood, although the condition can continue into the adult years."
What are the treatments for Attention Deficit-Hyperactivity Disorder ?,0000006-2,treatment,"The usual course of treatment may include medications such as methylphenidate (Ritalin) or dextroamphetamine (Dexedrine), which are stimulants that decrease impulsivity and hyperactivity and increase attention. Most experts agree that treatment for ADHD should address multiple aspects of the individual's functioning and should not be limited to the use of medications alone. Treatment should include structured classroom management, parent education (to address discipline and limit-setting), and tutoring and/or behavioral therapy for the child."
What is the outlook for Attention Deficit-Hyperactivity Disorder ?,0000006-3,outlook,"There is no ""cure"" for ADHD. Children with the disorder seldom outgrow it; however, some may find adaptive ways to accommodate the ADHD as they mature."
what research (or clinical trials) is being done for Attention Deficit-Hyperactivity Disorder ?,0000006-4,research,"Several components of the NIH support research on developmental disorders such as ADHD. Research programs of the NINDS, the National Institute of Mental Health (NIMH), and the National Institute of Child Health and Human Development (NICHD) seek to address unanswered questions about the causes of ADHD, as well as to improve diagnosis and treatment."
What is (are) Adrenoleukodystrophy ?,0000008-1,information,"X-linked Adrenoleukodystrophy (ALD) is one of a group of genetic disorders called the leukodystrophies that cause damage to the myelin sheath, an insulating membrane that surrounds nerve cells in the brain. Women have two X chromosomes and are the carriers of the disease, but since men only have one X chromosome and lack the protective effect of the extra X chromosome, they are more severely affected. People with X-ALD accumulate high levels of saturated, very long chain fatty acids (VLCFA) in the brain and adrenal cortex. The loss of myelin and the progressive dysfunction of the adrenal gland are the primary characteristics of X-ALD. While nearly all patients with X-ALD suffer from adrenal insufficiency, also known as Addison's disease, the neurological symptoms can begin either in childhood or in adulthood. The childhood cerebral form is the most severe, with onset between ages 4 and 10. The most common symptoms are usually behavioral changes such as abnormal withdrawal or aggression, poor memory, and poor school performance. Other symptoms include visual loss, learning disabilities, seizures, poorly articulated speech, difficulty swallowing, deafness, disturbances of gait and coordination, fatigue, intermittent vomiting, increased skin pigmentation, and progressive dementia. The milder adult-onset form is also known as adrenomyeloneuropathy (AMN), which typically begins between ages 21 and 35. Symptoms may include progressive stiffness, weakness or paralysis of the lower limbs, and ataxia. Although adult-onset ALD progresses more slowly than the classic childhood form, it can also result in deterioration of brain function. Almost half the women who are carriers of X-ALS will develop a milder form of AMN but almost never will develop symptoms seen in boys the X-ALD. X-ALD should not be confused with neonatal adrenoleukodsystrophy, which is a disease of newborns and young infants and belongs to the group of peroxisomal biogenesis disorders."
What are the treatments for Adrenoleukodystrophy ?,0000008-2,treatment,"Adrenal function must be tested periodically in all patients with ALD. Treatment with adrenal hormones can be lifesaving. Symptomatic and supportive treatments for ALD include physical therapy, psychological support, and special education. Recent evidence suggests that a mixture of oleic acid and erucic acid, known as ""Lorenzo's Oil,"" administered to boys with X-ALD prior to symptom onset can prevent or delay the appearance of the childhood cerebral form It is not known whether Lorenzo's Oil will have any beneficial effects in AMN. Furthermore, Lorenzo's Oil has no beneficial effect in symptomatic boys with X-ALD. Bone marrow transplantations can provide long-term benefit to boys who have early evidence of the childhood cerebral form of X-ALD, but the procedure carries risk of mortality and morbidity and is not recommended for those whose symptoms are already severe or who have the adult-onset or neonatal forms."
What is the outlook for Adrenoleukodystrophy ?,0000008-3,outlook,Prognosis for patients with childhood cerebral X-ALD is generally poor due to progressive neurological deterioration unless bone marrow transplantation is performed early. Death usually occurs within 1 to 10 years after the onset of symptoms. Adult-onset AMN will progress over decades.
what research (or clinical trials) is being done for Adrenoleukodystrophy ?,0000008-4,research,"The NINDS supports research on genetic disorders such as ALD. The aim of this research is to find ways to prevent, treat, and cure these disorders. Studies are currently underway to identify new biomarkers of disease progression and to determine which patients will develop the childhood cerebral form of X-ALD. A recent case study in Europe demonstrated that the combination of gene therapy with bone marrow transplantation, using the patient's own bone marrow cells, may arrest disease progression in childhood cerebral X-ALD. A therapeutic trail in the United States is currently being discussed with the U.S. Food and Drug Administration."
What is (are) Agenesis of the Corpus Callosum ?,0000009-1,information,"Agenesis of the corpus callosum (ACC) is one of several disorders of the corpus callosum, the structure that connects the two hemispheres (left and right) of the brain. In ACC the corpus callosum is partially or completely absent. It is caused by a disruption of brain cell migration during fetal development. ACC can occur as an isolated condition or in combination with other cerebral abnormalities, including Arnold-Chiari malformation, Dandy-Walker syndrome, schizencephaly (clefts or deep divisions in brain tissue), and holoprosencephaly (failure of the forebrain to divide into lobes.) Girls may have a gender-specific condition called Aicardi syndrome, which causes severe cognitive impairment and developmental delays, seizures, abnormalities in the vertebra of the spine, and lesions on the retina of the eye. ACC can also be associated with malformations in other parts of the body, such as midline facial defects. The effects of the disorder range from subtle or mild to severe, depending on associated brain abnormalities. Children with the most severe brain malformations may have intellectual impairment, seizures, hydrocephalus, and spasticity. Other disorders of the corpus callosum include dysgenesis, in which the corpus callosum is developed in a malformed or incomplete way, and hypoplasia, in which the corpus callosum is thinner than usual. Individuals with these disorders have a higher risk of hearing deficits and cardiac abnormalities than individuals with the normal structure. It is estimated that at lease one in 4,000 individuals has a disorder of the corpus callosum."
What are the treatments for Agenesis of the Corpus Callosum ?,0000009-2,treatment,"There is no standard course of treatment for ACC. Treatment usually involves management of symptoms and seizures if they occur. Associated difficulties are much more manageable with early recognition and therapy, especially therapies focusing on left/right coordination. Early diagnosis and interventions are currently the best treatments to improve social and developmental outcomes."
What is the outlook for Agenesis of the Corpus Callosum ?,0000009-3,outlook,"Prognosis depends on the extent and severity of malformations. Intellectual impairment does not worsen. Individuals with a disorder of the corpus callosum typically have delays in attaining developmental milestones such as walking, talking, or reading; challenges with social interactions; clumsiness and poor motor coordination, particularly on skills that require coordination of left and right hands and feet (such as swimming, bicycle riding, and driving; and mental and social processing problems that become more apparent with age, with problems particularly evident from junior high school into adulthood."
what research (or clinical trials) is being done for Agenesis of the Corpus Callosum ?,0000009-4,research,"The mission of the National Institute of Neurological Disorders and Stroke (NINDS) is to seek fundamental knowledge about the brain and nervous system and to use that knowledge to reduce the burden of neurological disease. The NINDS conducts and supports a wide range of studies that explore the complex mechanisms of normal brain development. NINDS-funded research includes studies to understand the genetic causes of ACC, as well as to understand how magnetic resonance imaging findings may help predict outcome and response to therapy."
What is (are) Agnosia ?,0000010-1,information,"Agnosia is a rare disorder characterized by an inability to recognize and identify objects or persons. People with agnosia may have difficulty recognizing the geometric features of an object or face or may be able to perceive the geometric features but not know what the object is used for or whether a face is familiar or not. Agnosia can be limited to one sensory modality such as vision or hearing. For example, a person may have difficulty in recognizing an object as a cup or identifying a sound as a cough. Agnosia can result from strokes, dementia, developmental disorders, or other neurological conditions. It typically results from damage to specific brain areas in the occipital or parietal lobes of the brain. People with agnosia may retain their cognitive abilities in other areas."
What are the treatments for Agnosia ?,0000010-2,treatment,Treatment is generally symptomatic and supportive. The primary cause of the disorder should be determined in order to treat other problems that may contribute to or result in agnosia.
What is the outlook for Agnosia ?,0000010-3,outlook,Agnosia can compromise quality of life.
what research (or clinical trials) is being done for Agnosia ?,0000010-4,research,The NINDS supports research on disorders of the brain such as agnosia with the goal of finding ways to prevent or cure them.
What is (are) Aicardi Syndrome ?,0000011-1,information,"Aicardi syndrome is a rare genetic disorder that primarily affects newborn girls. The condition is sporadic, meaning it is not known to pass from parent to child. (An exception is a report of two sisters and a pair of identical twins, all of whom were affected.) The mutation that causes Aicardi syndrome has not been identified, but it is thought to be caused by a dominant mutation that appears for the first time in a family in an x-linked gene that may be lethal in certain males.. Aicardi syndrome can be seen in boys born with an extra ""X"" chromosome. (Females have two X chromosomes, while males normally have an X and a Y chromosome.) The precise gene or genetic mechanism causing Aicardi syndrome is not yet known.
                
Originally, Aicardi syndrome was characterized by three main features: 1) partial or complete absence of the structure (corpus callosum) that links the two halves of the brain (2) infantile spasms (a type of seizure disorder), and 3) chorioretinal lacunae, lesions on the retina that look like yellowish spots. However, Aicardi syndrome is now known to have a much broader spectrum of abnormalities than was initially described. Not all girls with the condition have the three features described above and many girls have additional feature such as lower tone around the head and trunk, microcephaly (small head circumference), and spasticity in the limbs.
                
Typical findings in the brain of girls with Aicardi syndrome include heterotopias, which are groups of brain cells that, during development, migrated to the wrong area of brain; polymicrogyria or pachygyria, which are numerous small, or too few, brain folds; and cysts, (fluid filled cavities) in the brain. Girls with Aicardi syndrome have varying degrees of intellectual disability and developmental delay. Many girls also have developmental abnormalities of their optic nerves and some have microphthalmia (small eyes). Skeletal problems such as absent or abnormal ribs and abnormalities of vertebrae in the spinal column (including hemivertebrae and butterfly vertebrae) have also been reported. Some girls also have skin problems, facial asymmetry, small hands, and an increased incidence of tumors.
                
(Aicardi syndrome is distinct from Aicardi-Goutieres syndrome, which is an inherited encephalopathy that affects newborn infants.)"
What are the treatments for Aicardi Syndrome ?,0000011-2,treatment,There is no cure for Aicardi syndrome nor is there a standard course of treatment. Treatment generally involves medical management of seizures and programs to help parents and children cope with developmental delays. Long-term management by a pediatric neurologist with expertise in the management of infantile spasms is recommended.
What is the outlook for Aicardi Syndrome ?,0000011-3,outlook,"The prognosis for girls with Aicardi syndrome varies according to the severity of their symptoms. There is an increased risk for death in childhood and adolescence, but survivors into adulthood have been described."
what research (or clinical trials) is being done for Aicardi Syndrome ?,0000011-4,research,"The NINDS supports and conducts research on neurogenetic disorders such as Aicardi syndrome. The goals of this research are to locate and understand the genes involved and to develop techniques to diagnose, treat, prevent, and ultimately cure disorders such as Aicardi syndrome."
What is (are) Aicardi-Goutieres Syndrome Disorder ?,0000012-1,information,"Aicardi-Goutieres syndrome (AGS) is an inherited encephalopathy that affects newborn infants and usually results in severe mental and physical handicap. There are two forms of the syndrome: an early-onset form that is severe, and a late-onset form that has less impact upon neurological function. The early-onset form affects about 20 percent of all babies who have AGS. These infants are born with neurological and liver abnormalities, such as enlargement of the liver and spleen and elevated liver enzymes. Their jittery behavior and poor feeding ability mimic congenital viral infection.
                
Babies with later-onset AGS begin having symptoms after the first weeks or months of normal development, which appear as a progressive decline in head growth, weak or stiffened muscles (spasticity), and cognitive and developmental delays that range from moderate to severe. Symptoms last for several months, and include irritability, inconsolable crying, intermittent fever, seizures, and loss of developmental skills. Children may also have puffy swelling on the fingers, toes, and ears that resemble chilblains. A number of children have a noticeable startle reaction to sudden noise. For babies with the later-onset form, as symptoms lessen, there is no further worsening of the disease.
                
AGS is difficult to diagnose since many of the symptoms are similar to those of other disorders. Diagnosis is made based on the clinical symptoms of the disease, as well as characteristic brain abnormalities that can be seen in an MRI brain scan. Cerebrospinal fluid (CSF), taken using a ""spinal tap,"" can also be tested for increased levels of a specific immune system cell (a lymphocyte), which indicates a condition known as chronic lymphocytosis. These cells are normally only elevated during infection, so that lymphocytosis without evidence of infection can be used as an indicator of AGS. CSF may also be tested for elevated levels of a substance known as interferon-gamma, which can also support a diagnosis of AGS.
                
The mutations of four different genes are associated with AGS:
                
- Aicardi-Goutieres syndrome-1 (AGS1) and AGS5 (an autosomal dominant form) are caused by a mutation in the TREX1 gene, - AGS2 is caused by a mutation in the RNASEH2B gene, - AGS3 is caused by a mutation in the RNASEH2C gene, - AGS4 is caused by a mutation in the RNASEH2A gene.
                
Most cases of AGS are inherited in an autosomal recessive manner, which means that both parents of a child with AGS must carry a single copy of the defective gene responsible for the disease. Parents do not have any symptoms of disease, but with every child they have together, there is a one in four chance that the baby will receive two copies of the defective gene and inherit AGS.
                
NOTE: AGS is distinct from the similarly named Aicardi syndrome (characterized by absence of a brain structure (corpus callosum), and spinal, skeletal, and eye abnormalities)."
What are the treatments for Aicardi-Goutieres Syndrome Disorder ?,0000012-2,treatment,"Depending upon the severity of symptoms, children may require chest physiotherapy and treatment for respiratory complications. To ensure adequate nutrition and caloric intake, some infants may require special accommodations for diet and feeding. Seizures may be managed with standard anticonvulsant medications. Children should be monitored for evidence of glaucoma in the first few months of life, and later for evidence of scoliosis, diabetes, and underactive thyroid.The prognosis depends upon the severity of symptoms."
What is the outlook for Aicardi-Goutieres Syndrome Disorder ?,0000012-3,outlook,"The prognosis depends upon the severity of symptoms. Children with early-onset AGS have the highest risk of death. Children with the later-onset form may be left with weakness or stiffness in the peripheral muscles and arms, weak muscles in the trunk of the body, and poor head control. Almost all children with AGS have mild to severe intellectual and physical impairment."
what research (or clinical trials) is being done for Aicardi-Goutieres Syndrome Disorder ?,0000012-4,research,The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes of the National Institutes of Health (NIH) support research related to AGS through grants to major medical institutions across the country. Current research is aimed at finding new methods for treating and ultimately preventing or curing AGS.
What are the complications of Neurological Complications of AIDS ?,0000013-1,complications,"AIDS is primarily an immune system disorder caused by the human immunodeficiency virus (HIV), but it can also affect the nervous system. HIV does not appear to directly invade nerve cells but it jeopardizes their health and function, causing symptoms such as confusion, forgetfulness, behavioral changes, headaches, progressive weakness and loss of sensation in the arms and legs, cognitive motor impairment, or damage to the peripheral nerves. Other complications that can occur as a result of HIV infection or the drugs used to treat it include pain, seizures, shingles, spinal cord problems, lack of coordination, difficult or painful swallowing, anxiety disorder, depression, fever, vision loss, gait disorders, destruction of brain tissue, and coma. Other AIDS-related nervous system disorders may be caused by certain cancers or by illnesses that would not otherwise affect people with healthy immune systems.
                
Among the most common neurological complications are: AIDS dementia complex, causing symptoms such as encephalitis (inflammation of the brain), behavioral changes, and a gradual decline in cognitive function; central nervous system lymphomas, cancerous tumors that either begin in the brain or result from a cancer that has spread from another site in the body; cryptococcal meningitis; cytomegalovirus infections; herpes virus infections; neuropathy; neurosyphilis; progressive multifocal leukoencephalopathy (PML); and psychological and neuropsychiatric disorders."
What are the treatments for Neurological Complications of AIDS ?,0000013-2,treatment,"No single treatment can cure the neurological complications of AIDS. Some disorders require aggressive therapy while others are treated symptomatically.
                
Medicines range from analgesics sold over the counter to antiepileptic drugs, opiates, corticosteroids, and some classes of antidepressants. Other treatments include radiation therapy or chemotherapy to kill or shrink cancerous brain tumors that may be caused by HIV, antifungal or antimalarial drugs to combat certain bacterial infections, and penicillin to treat neurosyphilis. Aggressive antiretroviral therapy is used to treat AIDS dementia complex, PML, and cytomegalovirus encephalitis. HAART, or highly active antiretroviral therapy, combines at least three drugs to reduce the amount of virus circulating in the blood and may also delay the start of some infections."
What is the outlook for Neurological Complications of AIDS ?,0000013-3,outlook,The overall prognosis for individuals with AIDS in recent years has improved significantly because of new drugs and treatments. AIDS clinicians often fail to recognize neurological complications of AIDS. Those who suspect they are having neurological complications should be sure to discuss these with their doctor.
what research (or clinical trials) is being done for Neurological Complications of AIDS ?,0000013-4,research,"Within the Federal government, the National Institute of Neurological Disorders and Stroke (NINDS), one part of the National Institutes of Health (NIH), supports research on the neurological consequences of AIDS. The NINDS works closely with its sister agency, the National Institute of Allergy and Infectious Diseases (NIAID), which has primary responsibility for research related to HIV and AIDS."
What is (are) Alexander Disease ?,0000014-1,information,"Alexander disease is one of a group of neurological conditions known as the leukodystrophies, disorders that are the result of abnormalities in myelin, the white matter that protects nerve fibers in the brain. Alexander disease is a progressive and often fatal disease. The destruction of white matter is accompanied by the formation of Rosenthal fibers, which are abnormal clumps of protein that accumulate in non-neuronal cells of the brain called astrocytes. Rosenthal fibers are sometimes found in other disorders, but not in the same amount or area of the brain that are featured in Alexander disease. The infantile form is the most common type of Alexander disease. It has an onset during the first two years of life. Usually there are both mental and physical developmental delays, followed by the loss of developmental milestones, an abnormal increase in head size, and seizures. The juvenile form of Alexander disease is less common and has an onset between the ages of two and thirteen. These children may have excessive vomiting, difficulty swallowing and speaking, poor coordination, and loss of motor control. Adult-onset forms of Alexander disease are less common. The symptoms sometimes mimic those of Parkinsons disease or multiple sclerosis, or may present primarily as a psychiatric disorder. The disease occurs in both males and females, and there are no ethnic, racial, geographic, or cultural/economic differences in its distribution."
What are the treatments for Alexander Disease ?,0000014-2,treatment,"There is no cure for Alexander disease, nor is there a standard course of treatment. Treatment of Alexander disease is symptomatic and supportive."
What is the outlook for Alexander Disease ?,0000014-3,outlook,"The prognosis for individuals with Alexander disease is generally poor. Most children with the infantile form do not survive past the age of 6. Juvenile and adult onset forms of the disorder have a slower, more lengthy course."
