question,question_id,question_type,answer
What is (are) Addison Disease ?,0000011-1,information,"Your adrenal glands are just above your kidneys. The outside layer of these glands makes hormones that help your body respond to stress and regulate your blood pressure and water and salt balance. Addison disease happens if the adrenal glands don't make enough of these hormones.    A problem with your immune system usually causes Addison disease. The immune system mistakenly attacks your own tissues, damaging your adrenal glands. Other causes include infections and cancer.    Symptoms include       - Weight loss     - Muscle weakness     - Fatigue that gets worse over time     - Low blood pressure     - Patchy or dark skin        Lab tests can confirm that you have Addison disease. If you don't treat it, it can be fatal. You will need to take hormone pills for the rest of your life. If you have Addison disease, you should carry an emergency ID. It should say that you have the disease, list your medicines and say how much you need in an emergency.    NIH: National Institute of Diabetes and Digestive and Kidney Diseases"
What is (are) Adhesions ?,0000012-1,information,"Adhesions are bands of scar-like tissue. Normally, internal tissues and organs have slippery surfaces so they can shift easily as the body moves. Adhesions cause tissues and organs to stick together. They might connect the loops of the intestines to each other, to nearby organs, or to the wall of the abdomen. They can pull sections of the intestines out of place. This may block food from passing through the intestine.    Adhesions can occur anywhere in the body. But they often form after surgery on the abdomen. Almost everyone who has surgery on the abdomen gets adhesions. Some adhesions don't cause any problems. But when they partly or completely block the intestines, they cause symptoms such as       - Severe abdominal pain or cramping    - Vomiting    - Bloating    - An inability to pass gas    - Constipation       Adhesions can sometimes cause infertility in women by preventing fertilized eggs from reaching the uterus.    No tests are available to detect adhesions. Doctors usually find them during surgery to diagnose other problems.    Some adhesions go away by themselves. If they partly block your intestines, a diet low in fiber can allow food to move easily through the affected area. If you have a complete intestinal obstruction, it is life threatening. You should get immediate medical attention and may need surgery.     NIH: National Institute of Diabetes and Digestive and Kidney Diseases"
Do you have information about Adoption,0000013-1,information,"Summary : Adoption brings a child born to other parents into a new family. Birth parents have a number of reasons for placing children for adoption. Overall, they want better lives for their children than they think they can give them.    Children who are eligible for adoption come from many different settings. Some are in foster care, a temporary home setting. Other children live in orphanages or with birth relatives until they can be adopted.    There are different kinds of adoption. Children may be adopted by a relative or a new family. Some parents adopt children from the U.S, and some adopt from abroad."
What is (are) Adrenal Gland Cancer ?,0000014-1,information,"Your adrenal, or suprarenal, glands are located on the top of each kidney. These glands produce hormones that you can't live without, including sex hormones and cortisol, which helps you respond to stress and has many other functions.    A number of disorders can affect the adrenal glands, including tumors. Tumors can be either benign or malignant. Benign tumors aren't cancer. Malignant ones are. Most adrenal gland tumors are benign. They usually do not cause symptoms and may not require treatment. Malignant adrenal gland cancers are uncommon.    Types of tumors include       - Adrenocortical carcinoma - cancer in the outer part of the gland    - Neuroblastoma, a type of childhood cancer    - Pheochromocytoma - a rare tumor that is usually benign       Symptoms depend on the type of cancer you have. Treatments may include surgery, chemotherapy, or radiation therapy."
What is (are) Adrenal Gland Disorders ?,0000015-1,information,"The adrenal glands are small glands located on top of each kidney. They produce hormones that you can't live without, including sex hormones and cortisol. Cortisol helps you respond to stress and has many other important functions.    With adrenal gland disorders, your glands make too much or not enough hormones. In Cushing's syndrome, there's too much cortisol, while with Addison's disease, there is too little. Some people are born unable to make enough cortisol.    Causes of adrenal gland disorders include       - Genetic mutations    - Tumors including pheochromocytomas    - Infections    - A problem in another gland, such as the pituitary, which helps to regulate the adrenal gland    - Certain medicines      Treatment depends on which problem you have. Surgery or medicines can treat many adrenal gland disorders.    NIH: National Institute of Child Health and Human Development"
Do you have information about Advance Directives,0000016-1,information,"Summary : What kind of medical care would you want if you were too ill or hurt to express your wishes? Advance directives are legal documents that allow you to spell out your decisions about end-of-life care ahead of time. They give you a way to tell your wishes to family, friends, and health care professionals and to avoid confusion later on.     A living will tells which treatments you want if you are dying or permanently unconscious. You can accept or refuse medical care. You might want to include instructions on       - The use of dialysis and breathing machines    -  If you want to be resuscitated if your breathing or heartbeat stops     -  Tube feeding    -  Organ or tissue donation         A durable power of attorney for health care is a document that names your health care proxy. Your proxy is someone you trust to make health decisions for you if you are unable to do so.     NIH: National Cancer Institute"
Do you have information about African American Health,0000017-1,information,"Summary : Every racial or ethnic group has specific health concerns. Differences in the health of groups can result from       - Genetics    - Environmental factors    - Access to care    - Cultural factors        On this page, you'll find links to health issues that affect African Americans."
What is (are) After Surgery ?,0000018-1,information,"After any operation, you'll have some side effects. There is usually some pain with surgery. There may also be swelling and soreness around the area that the surgeon cut. Your surgeon can tell you which side effects to expect.    There can also be complications. These are unplanned events linked to the operation. Some complications are infection, too much bleeding, reaction to anesthesia, or accidental injury. Some people have a greater risk of complications because of other medical conditions.    Your surgeon can tell you how you might feel and what you will be able to do - or not do - the first few days, weeks, or months after surgery. Some other questions to ask are       - How long you will be in the hospital    - What kind of supplies, equipment, and help you might need when you go home    - When you can go back to work    - When it is ok to start exercising again    - Are they any other restrictions in your activities       Following your surgeon's advice can help you recover as soon as possible.    Agency for Healthcare Quality and Research"
Do you have information about Air Pollution,0000019-1,information,"Summary : Air pollution is a mixture of solid particles and gases in the air. Car emissions, chemicals from factories, dust, pollen and mold spores may be suspended as particles. Ozone, a gas, is a major part of air pollution in cities. When ozone forms air pollution, it's also called smog.    Some air pollutants are poisonous. Inhaling them can increase the chance you'll have health problems. People with heart or lung disease, older adults and children are at greater risk from air pollution. Air pollution isn't just outside - the air inside buildings can also be polluted and affect your health.    Environmental Protection Agency"
Do you have information about Alcohol,0000020-1,information,"Summary : If you are like many Americans, you drink alcohol at least occasionally. For many people, moderate drinking is probably safe. It may even have health benefits, including reducing your risk of certain heart problems. For most women and for most people over 65, moderate drinking is no more than three drinks a day or seven drinks per week. For men under 65, it is no more than four drinks a day or 14 drinks per week.    Some people should not drink at all, including alcoholics, children, pregnant women, people taking certain medicines, and people with certain medical conditions. If you have questions about whether it is safe for you to drink, speak with your health care provider.    Anything more than moderate drinking can be risky. Heavy drinking can lead to alcoholism and alcohol abuse, as well as injuries, liver disease, heart disease, cancer, and other health problems. It can also cause problems at home, at work, and with friends.    NIH: National Institute on Alcohol Abuse and Alcoholism"
What is (are) Alcoholism and Alcohol Abuse ?,0000021-1,information,"For most adults, moderate alcohol use is probably not harmful. However, about 18 million adult Americans have an alcohol use disorder. This means that their drinking causes distress and harm. It includes alcoholism and alcohol abuse.    Alcoholism, or alcohol dependence, is a disease that causes       - Craving - a strong need to drink    - Loss of control - not being able to stop drinking once you've started    - Physical dependence - withdrawal symptoms    - Tolerance - the need to drink more alcohol to feel the same effect       With alcohol abuse, you are not physically dependent, but you still have a serious problem. The drinking may cause problems at home, work, or school. It may cause you to put yourself in dangerous situations, or lead to legal or social problems.    Another common problem is binge drinking. It is drinking about five or more drinks in two hours for men. For women, it is about four or more drinks in two hours.    Too much alcohol is dangerous. Heavy drinking can increase the risk of certain cancers. It can cause damage to the liver, brain, and other organs. Drinking during pregnancy can harm your baby. Alcohol also increases the risk of death from car crashes, injuries, homicide, and suicide.    If you want to stop drinking, there is help. Start by talking to your health care provider. Treatment may include medicines, counseling, and support groups.    NIH: National Institute on Alcohol Abuse and Alcoholism"
What is (are) Allergy ?,0000022-1,information,"An allergy is a reaction by your immune system to something that does not bother most other people. People who have allergies often are sensitive to more than one thing. Substances that often cause reactions are       - Pollen    - Dust mites    - Mold spores    - Pet dander    - Food    - Insect stings    - Medicines       Normally, your immune system fights germs. It is your body's defense system. In most allergic reactions, however, it is responding to a false alarm. Genes and the environment probably both play a role.    Allergies can cause a variety of symptoms such as a runny nose, sneezing, itching, rashes, swelling, or asthma. Allergies can range from minor to severe. Anaphylaxis is a severe reaction that can be life-threatening. Doctors use skin and blood tests to diagnose allergies. Treatments include medicines, allergy shots, and avoiding the substances that cause the reactions.    NIH: National Institute of Allergy and Infectious Diseases"
What is (are) Alpha-1 Antitrypsin Deficiency ?,0000023-1,information,"Alpha-1 antitrypsin deficiency (AAT deficiency) is an inherited condition that raises your risk for lung and liver disease. Alpha-1 antitrypsin (AAT) is a protein that protects the lungs. The liver makes it. If the AAT proteins aren't the right shape, they get stuck in the liver cells and can't reach the lungs.    Symptoms of AAT deficiency include       - Shortness of breath and wheezing    - Repeated lung infections    - Tiredness    - Rapid heartbeat upon standing    - Vision problems    - Weight loss       Some people have no symptoms and do not develop complications.    Blood tests and genetic tests can tell if you have it. If your lungs are affected, you may also have lung tests. Treatments include medicines, pulmonary rehab, and extra oxygen, if needed. Severe cases may need a lung transplant. Not smoking can prevent or delay lung symptoms.    NIH: National Heart, Lung, and Blood Institute"
What is (are) Alzheimer's Caregivers ?,0000024-1,information,"Caring for someone who has Alzheimer's disease  (AD) can be stressful and overwhelming. It's important to take care of yourself. Ask for and accept help.    Talk to the doctor. Find out what treatments might help control symptoms or address behavior problems. Find a support group. Others who have ""been there"" may be able to help and will understand.     If there are times of day that the person is less confused or more cooperative, take advantage of that in daily routines. Consider using adult day care or respite services. These offer a break with the peace of mind that the patient is being taken care of. Begin to plan for the future. This may include        -  Getting financial and legal documents in order    -  Looking into assisted living or nursing homes    -  Finding out what your health insurance and Medicare will cover       NIH: National Institute on Aging"
What is (are) Alzheimer's Disease ?,0000025-1,information,"Alzheimer's disease (AD) is the most common form of dementia among older people. Dementia is a brain disorder that seriously affects a person's ability to carry out daily activities.     AD begins slowly. It first involves the parts of the brain that control thought, memory and language. People with AD may have trouble remembering things that happened recently or names of people they know. A related problem, mild cognitive impairment (MCI), causes more memory problems than normal for people of the same age. Many, but not all, people with MCI will develop AD.    In AD, over time, symptoms get worse. People may not recognize family members. They may have trouble speaking, reading or writing. They may forget how to brush their teeth or comb their hair. Later on, they may become anxious or aggressive, or wander away from home. Eventually, they need total care. This can cause great stress for family members who must care for them.    AD usually begins after age 60. The risk goes up as you get older. Your risk is also higher if a family member has had the disease.     No treatment can stop the disease. However, some drugs may help keep symptoms from getting worse for a limited time.    NIH: National Institute on Aging"
What is (are) Amblyopia ?,0000026-1,information,"Amblyopia, or ""lazy eye,"" is the most common cause of visual impairment in children. It happens when an eye fails to work properly with the brain. The eye may look normal, but the brain favors the other eye. In some cases, it can affect both eyes. Causes include       - Strabismus - a disorder in which the two eyes don't line up in the same direction    - Refractive error in an eye - when one eye cannot focus as well as the other, because of a problem with its shape. This includes nearsightedness, farsightedness, and astigmatism.    - Cataract - a clouding in the lens of the eye       It can be hard to diagnose amblyopia. It is often found during a routine vision exam.    Treatment for amblyopia forces the child to use the eye with weaker vision. There are two common ways to do this. One is to have the child wear a patch over the good eye for several hours each day, over a number of weeks to months. The other is with eye drops that temporarily blur vision. Each day, the child gets a drop of a drug called atropine in the stronger eye. It is also sometimes necessary to treat the underlying cause. This could include glasses or surgery.    NIH: National Eye Institute"
What is (are) Amyloidosis ?,0000027-1,information,"Amyloidosis occurs when abnormal proteins called amyloids build up and form deposits. The deposits can collect in organs such as the kidney and heart. This can cause the organs to become stiff and unable to work the way they should.     There are three main types of amyloidosis:       - Primary - with no known cause    - Secondary - caused by another disease, including some types of cancer    - Familial - passed down through genes       Symptoms can vary, depending upon which organs are affected. Treatment depends on the type of amyloidosis you have. The goal is to help with symptoms and limit the production of proteins. If another disease is the cause, it needs to be treated."
What is (are) Amyotrophic Lateral Sclerosis ?,0000028-1,information,"Amyotrophic lateral sclerosis (ALS) is a nervous system disease that attacks nerve cells called neurons in your brain and spinal cord. These neurons transmit messages from your brain and spinal cord to your voluntary muscles - the ones you can control, like in your arms and legs. At first, this causes mild muscle problems. Some people notice       -  Trouble walking or running     -  Trouble writing     -  Speech problems       Eventually, you lose your strength and cannot move. When muscles in your chest fail, you cannot breathe. A breathing machine can help, but most people with ALS die from respiratory failure.     The disease usually strikes between age 40 and 60. More men than women get it. No one knows what causes ALS. It can run in families, but usually it strikes at random. There is no cure. Medicines can relieve symptoms and, sometimes, prolong survival.     NIH: National Institute of Neurological Disorders and Stroke"
Do you have information about Anabolic Steroids,0000029-1,information,"Summary : Anabolic steroids are man-made substances related to male sex hormones. Doctors use anabolic steroids to treat some hormone problems in men, delayed puberty, and muscle loss from some diseases.    Bodybuilders and athletes often use anabolic steroids to build muscles and improve athletic performance. Using them this way is not legal or safe. Abuse of anabolic steroids has been linked with many health problems. They include       -  Acne    -  Breast growth and shrinking of testicles in men     - Voice deepening and growth of facial hair in women     - High blood pressure    - Heart problems, including heart attack    - Liver disease, including cancer    - Kidney damage    - Aggressive behavior        NIH: National Institute on Drug Abuse"
What is (are) Anal Cancer ?,0000030-1,information,"The anus is where stool leaves your body when you go to the bathroom. It is made up of your outer layers of skin and the end of your large intestine. Anal cancer is a disease in which cancer cells form in the tissues of the anus.    Anal cancer is rare. It is more common in smokers and people over 50. You are also at higher risk if you have HPV, have anal sex, or have many sexual partners.    Symptoms include bleeding, pain, or lumps in the anal area. Anal itching and discharge can also be signs of anal cancer.    Doctors use tests that examine the anus to diagnose anal cancer. They include a physical exam, endoscopy, ultrasound, and biopsy.    Treatments include radiation therapy, chemotherapy, and surgery.    NIH: National Cancer Institute"
What is (are) Anal Disorders ?,0000031-1,information,"The anus is the opening of the rectum through which stool passes out of your body. Problems with the anus are common. They include hemorrhoids, abscesses, fissures (cracks), and cancer.    You may be embarrassed to talk about your anal troubles. But it is important to let your doctor know, especially if you have pain or bleeding. The more details you can give about your problem, the better your doctor will be able to help you. Treatments vary depending on the particular problem.    NIH: National Institute of Diabetes and Digestive and Kidney Diseases"
What is (are) Anaphylaxis ?,0000032-1,information,"Anaphylaxis is a serious allergic reaction. It can begin very quickly, and symptoms may be life-threatening. The most common causes are reactions to foods (especially peanuts), medications, and stinging insects. Other causes include exercise and exposure to latex. Sometimes no cause can be found.    It can affect many organs:       - Skin - itching, hives, redness, swelling    - Nose - sneezing, stuffy nose, runny nose    - Mouth - itching, swelling of the lips or tongue    - Throat - itching, tightness, trouble swallowing, swelling of the back of the throat    - Chest - shortness of breath, coughing, wheezing, chest pain or tightness    - Heart - weak pulse, passing out, shock    - Gastrointestinal tract - vomiting, diarrhea, cramps    - Nervous system - dizziness or fainting       If someone is having a serious allergic reaction, call 9-1-1. If an auto-injector is available, give the person the injection right away.    NIH: National Institute of Allergy and Infectious Diseases"
Do you have information about Anatomy,0000033-1,information,"Summary : Anatomy is the science that studies the structure of the body. On this page, you'll find links to descriptions and pictures of the human body's parts and organ systems from head to toe."
What is (are) Anemia ?,0000034-1,information,"If you have anemia, your blood does not carry enough oxygen to the rest of your body. The most common cause of anemia is not having enough iron. Your body needs iron to make hemoglobin. Hemoglobin is an iron-rich protein that gives the red color to blood. It carries oxygen from the lungs to the rest of the body.    Anemia has three main causes: blood loss, lack of red blood cell production, and high rates of red blood cell destruction.    Conditions that may lead to anemia include       - Heavy periods    - Pregnancy    - Ulcers    - Colon polyps or colon cancer    - Inherited disorders    - A diet that does not have enough iron, folic acid or vitamin B12    - Blood disorders such as sickle cell anemia and thalassemia, or cancer    - Aplastic anemia, a condition that can be inherited or acquired    - G6PD deficiency, a metabolic disorder       Anemia can make you feel tired, cold, dizzy, and irritable. You may be short of breath or have a headache.    Your doctor will diagnose anemia with a physical exam and blood tests. Treatment depends on the kind of anemia you have.    NIH: National Heart, Lung, and Blood Institute"
What is (are) Anesthesia ?,0000035-1,information,"If you are having surgery, your doctor will give you medicine called an anesthetic. Anesthetics reduce or prevent pain. There are three main types:       - Local - numbs one small area of the body. You stay awake and alert.    - Regional - blocks pain in an area of the body, such an arm or leg. A common type is epidural anesthesia, which is often used during childbirth.    - General - makes you unconscious. You do not feel any pain, and you do not remember the procedure afterwards.       You may also get a mild sedative to relax you. You stay awake but may not remember the procedure afterwards. Sedation can be used with or without anesthesia.    The type of anesthesia or sedation you get depends on many factors. They include the procedure you are having and your current health."
What is (are) Aneurysms ?,0000036-1,information,"An aneurysm is a bulge or ""ballooning"" in the wall of an artery. Arteries are blood vessels that carry oxygen-rich blood from the heart to other parts of the body. If an aneurysm grows large, it can burst and cause dangerous bleeding or even death.     Most aneurysms occur in the aorta, the main artery that runs from the heart through the chest and abdomen. Aneurysms also can happen in arteries in the brain, heart and other parts of the body. If an aneurysm in the brain bursts, it causes a stroke.    Aneurysms can develop and become large before causing any symptoms. Often doctors can stop aneurysms from bursting if they find and treat them early. They use imaging tests to find aneurysms. Often aneurysms are found by chance during tests done for other reasons. Medicines and surgery are the two main treatments for aneurysms.     NIH: National Heart, Lung, and Blood Institute"
What is (are) Angina ?,0000037-1,information,"Angina is chest pain or discomfort you feel when there is not enough blood flow to your heart muscle. Your heart muscle needs the oxygen that the blood carries. Angina may feel like pressure or a squeezing pain in your chest. It may feel like indigestion. You may also feel pain in your shoulders, arms, neck, jaw, or back.     Angina is a symptom of coronary artery disease (CAD), the most common heart disease. CAD happens when a sticky substance called plaque builds up in the arteries that supply blood to the heart, reducing blood flow.    There are three types of angina:       - Stable angina is the most common type. It happens when the heart is working harder than usual. Stable angina has a regular pattern. Rest and medicines usually help.    - Unstable angina is the most dangerous. It does not follow a pattern and can happen without physical exertion. It does not go away with rest or medicine. It is a sign that you could have a heart attack soon.    - Variant angina is rare. It happens when you are resting. Medicines can help.       Not all chest pain or discomfort is angina. If you have chest pain, you should see your health care provider.    NIH: National Heart, Lung, and Blood Institute"
Do you have information about Angioplasty,0000038-1,information,"Summary : If you have coronary artery disease, the arteries in your heart are narrowed or blocked by a sticky material called plaque. Angioplasty is a procedure to restore blood flow through the artery.    You have angioplasty in a hospital. The doctor threads a thin tube through a blood vessel in the arm or groin up to the involved site in the artery. The tube has a tiny balloon on the end. When the tube is in place, the doctor inflates the balloon to push the plaque outward against the wall of the artery. This widens the artery and restores blood flow.    Doctors may use angioplasty to       - Reduce chest pain caused by reduced blood flow to the heart    - Minimize damage to heart muscle from a heart attack       Many people go home the day after angioplasty, and are able to return to work within a week of coming home.    NIH: National Heart, Lung, and Blood Institute"
What is (are) Animal Bites ?,0000039-1,information,"Wild animals usually avoid people. They might attack, however, if they feel threatened, are sick, or are protecting their young or territory. Attacks by pets are more common. Animal bites rarely are life-threatening, but if they become infected, you can develop serious medical problems.     To prevent animal bites and complications from bites       -  Never pet, handle, or feed unknown animals     -  Leave snakes alone    -  Watch your children closely around animals    -  Vaccinate your cats, ferrets, and dogs against rabies    -  Spay or neuter your dog to make it less aggressive    -  Get a tetanus booster if you have not had one recently    -  Wear boots and long pants when you are in areas with venomous snakes       If an animal bites you, clean the wound with soap and water as soon as possible. Get medical attention if necessary.    Centers for Disease Control and Prevention"
What is (are) Animal Diseases and Your Health ?,0000040-1,information,"Animal diseases that people can catch are called zoonoses. Many diseases affecting humans can be traced to animals or animal products. You can get a disease directly from an animal, or indirectly, through the environment.    Farm animals can carry diseases. If you touch them or things they have touched, like fencing or buckets, wash your hands thoroughly. Adults should make sure children who visit farms or petting zoos wash up as well.     Though they may be cute and cuddly, wild animals may carry germs, viruses, and parasites. Deer and deer mice carry ticks that cause Lyme disease. Some wild animals may carry rabies. Enjoy wildlife from a distance.    Pets can also make you sick. Reptiles pose a particular risk. Turtles, snakes and iguanas can transmit Salmonella bacteria to their owners. You can get rabies from an infected dog or toxoplasmosis from handling kitty litter of an infected cat. The chance that your dog or cat will make you sick is small. You can reduce the risk by practicing good hygiene, keeping pet areas clean and keeping your pets' shots up-to-date."
What is (are) Ankle Injuries and Disorders ?,0000041-1,information,"Your ankle bone and the ends of your two lower leg bones make up the ankle joint. Your ligaments, which connect bones to one another, stabilize and support it. Your muscles and tendons move it.    The most common ankle problems are sprains and fractures. A sprain is an injury to the ligaments. It may take a few weeks to many months to heal completely. A fracture is a break in a bone. You can also injure other parts of the ankle such as tendons, which join muscles to bone, and cartilage, which cushions your joints. Ankle sprains and fractures are common sports injuries."
What is (are) Ankylosing Spondylitis ?,0000042-1,information,"Ankylosing spondylitis is a type of arthritis of the spine. It causes inflammation between your vertebrae, which are the bones that make up your spine, and in the joints between your spine and pelvis. In some people, it can affect other joints.    AS is more common and more severe in men. It often runs in families. The cause is unknown, but it is likely that both genes and factors in the environment play a role.    Early symptoms of AS include back pain and stiffness. These problems often start in late adolescence or early adulthood. Over time, AS can fuse your vertebrae together, limiting movement. Some people have symptoms that come and go. Others have severe, ongoing pain.    A diagnosis of AS is based on your medical history and a physical examination. You may also have imaging or blood tests.    AS has no cure, but medicines can relieve symptoms and may keep the disease from getting worse. Eating a healthy diet, not smoking, and exercising can also help. In rare cases, you may need surgery to straighten the spine.    NIH: National Institute of Arthritis and Musculoskeletal and Skin Disease"
