question,question_id,question_type,answer,focus,id,source,url,cui,semanticType,semanticGroup
What is the action of Alfalfa and how does it work ?,0000002-3,how does it work,No information found.,Alfalfa,0000002,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/19.html,,,
Are there safety concerns or special precautions about Alfalfa ?,0000002-4,precautions,No information found.,Alfalfa,0000002,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/19.html,,,
Are there interactions between Alfalfa and other medications ?,0000002-5,interactions with medications,"Major Do not take this combination. Warfarin (Coumadin) Alfalfa contains large amounts of vitamin K. Vitamin K is used by the body to help blood clot. By helping the blood clot, alfalfa might decrease the effects of warfarin. Be sure to have your blood checked regularly. The dose of your warfarin might need to be changed. Moderate Be cautious with this combination. Birth control pills (Contraceptive drugs) Large amounts of alfalfa might have some of the same effects as estrogen. Taking alfalfa along with birth control pills might decrease the effects of birth control pills. If you take birth control pills along with alfalfa, use an additional form of birth control such as a condom. Estrogens Large amounts of alfalfa might have some of the same effects as estrogen. Taking alfalfa along with estrogen might change the effects of estrogen. Medications for diabetes (Antidiabetes drugs) Alfalfa might lower blood sugar levels. Taking alfalfa along with diabetes medications might cause blood sugar to drop too low. Monitor your blood sugar closely. Medications that decrease the immune system (Immunosuppressants) Alfalfa can increase the activity of the immune system. Some medications, such as those used after a transplant, decrease the activity of the immune system. Taking alfalfa along with these medications might decrease the effects of these medications. Medications that increase sensitivity to sunlight (Photosensitizing drugs) Some medications might make the skin more sensitive to sunlight. Alfalfa might also make the skin more sensitive to sunlight. Using these products together might increase the risk of sunburn, blistering, or rashes when the skin is exposed to sunlight. Be sure to wear sunblock and protective clothing when spending time in the sun.",Alfalfa,0000002,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/19.html,,,
Are there interactions between Alfalfa and herbs and supplements ?,0000002-6,interactions with herbs and supplements,"Herbs and supplements that might lower blood sugar Alfalfa might lower blood sugar. Taking it with other supplements with similar effects might lower blood sugar too much. Examples of supplements with this effect include aloe, bitter melon, cassia cinnamon, chromium, and prickly pear cactus. Herbs that might increase sensitivity to sunlight Alfalfa might make the skin more sensitive to sunlight. Using it with other products that also make the skin more sensitive to the sun might increase the risk for sunburn and other side effects. Examples of supplements with this effect include bishop's weed, chlorophyll, khella, and St. John's wort. Iron Taking alfalfa might reduce the amount of iron absorbed by the body. Vitamin E Taking alfalfa might reduce the amount of vitamin E absorbed by the body.",Alfalfa,0000002,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/19.html,,,
Are there interactions between Alfalfa and foods ?,0000002-7,interactions with foods,There are no known interactions with foods.,Alfalfa,0000002,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/19.html,,,
What is the dosage of Alfalfa ?,0000002-8,dose,No information found.,Alfalfa,0000002,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/19.html,,,
What is American ginseng ?,0000003-1,information,"American ginseng (Panax quinquefolius) is an herb that grows mainly in North America. It's an endangered species in some states due to high demand. American ginseng is considered an adaptogen. Adaptogens are a class of substances that are believed to stimulate the body's resistance to physical, environmental, and emotional stressors. American ginseng also contains chemicals called ginsenosides, which seem to affect insulin levels and lower blood sugar.  People take American ginseng for stress, to boost the immune system, for upper airway infections, diabetes, and many other conditions, but there is no good scientific evidence to support most of these uses. Don't confuse American ginseng with Asian ginseng (Panax ginseng) or Eleuthero (Eleutherococcus senticosus). These are different plants with different effects.",American ginseng,0000003,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/967.html,,,
How effective is American ginseng ?,0000003-2,how effective is it,"Natural Medicines Comprehensive Database  rates effectiveness based on scientific evidence according to the following scale:  Effective, Likely Effective, Possibly Effective, Possibly Ineffective, Likely Ineffective, Ineffective, and Insufficient Evidence to Rate. The effectiveness ratings for  AMERICAN GINSENG  are as follows: Possibly effective for...  Upper airway infection . Taking a specific American ginseng extract called CVT-E002 (Cold-FX, Afexa Life Sciences) by mouth during flu season might prevent cold or flu symptoms in some adults. ,  There is interest in using American ginseng for a number of other purposes, but there isn't enough reliable information to say whether it might be helpful.",American ginseng,0000003,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/967.html,,,
What is the action of American ginseng and how does it work ?,0000003-3,how does it work,No information found.,American ginseng,0000003,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/967.html,,,
Are there safety concerns or special precautions about American ginseng ?,0000003-4,precautions,No information found.,American ginseng,0000003,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/967.html,,,
Are there interactions between American ginseng and other medications ?,0000003-5,interactions with medications,"Major Do not take this combination. Warfarin (Coumadin) Warfarin is used to slow blood clotting. American ginseng has been reported to decrease the effects of warfarin. This might increase the risk of clotting. It is unclear why this interaction might occur. To avoid this interaction, do not take American ginseng if you take warfarin. Moderate Be cautious with this combination. Medications for depression (MAOIs) American ginseng might stimulate the body. Some medications used for depression can also stimulate the body. Taking American ginseng along with these medications used for depression might cause side effects such as anxiousness, headache, restlessness, and insomnia. Some common MAOIs include phenelzine (Nardil), selegiline (Zelapar), and tranylcypromine (Parnate). Medications for diabetes (Antidiabetes drugs) American ginseng might lower blood sugar levels. Taking American ginseng along with diabetes medications might cause blood sugar to drop too low. Monitor your blood sugar closely. Medications that decrease the immune system (Immunosuppressants) American ginseng can increase the activity of the immune system. Some medications, such as those used after a transplant, decrease the activity of the immune system. Taking American ginseng along with these medications might decrease the effects of these medications.",American ginseng,0000003,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/967.html,,,
Are there interactions between American ginseng and herbs and supplements ?,0000003-6,interactions with herbs and supplements,"Herbs and supplements that might lower blood sugar American ginseng might lower blood sugar. Taking it with other supplements with similar effects might lower blood sugar too much. Examples of supplements with this effect include aloe, bitter melon, cassia cinnamon, chromium, and prickly pear cactus.",American ginseng,0000003,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/967.html,,,
Are there interactions between American ginseng and foods ?,0000003-7,interactions with foods,There are no known interactions with foods.,American ginseng,0000003,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/967.html,,,
What is the dosage of American ginseng ?,0000003-8,dose,No information found.,American ginseng,0000003,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/967.html,,,
What is Arnica ?,0000004-1,information,"Arnica is an herb sometimes used to flavor foods. It can be poisonous when consumed in larger amounts. Arnica gel can be applied to the skin for osteoarthritis. The active chemicals in arnica may reduce swelling, decrease pain, and act as antibiotics. But arnica can be unsafe when taken by mouth unless it's used in homeopathic dilutions. Homeopathic products contain extreme dilutions of the active chemicals. People most commonly use arnica for pain caused by osteoarthritis. It is also used for bleeding, bruising, swelling after surgery, and other conditions, but there is no good scientific evidence to support these uses. Arnica is also used as a flavor ingredient in beverages, candy, baked goods, and other foods. ",Arnica,0000004,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/721.html,,,
How effective is Arnica ?,0000004-2,how effective is it,"Natural Medicines Comprehensive Database  rates effectiveness based on scientific evidence according to the following scale:  Effective, Likely Effective, Possibly Effective, Possibly Ineffective, Likely Ineffective, Ineffective, and Insufficient Evidence to Rate. The effectiveness ratings for  ARNICA  are as follows: Possibly effective for...  Osteoarthritis . Applying an arnica gel (A. Vogel Arnica Gel, Bioforce AG) twice daily for 3 weeks can reduce pain and stiffness and improve function in people with osteoarthritis in the hand or knee. It might work as well as ibuprofen. There is interest in using arnica for a number of other purposes, but there isn't enough reliable information to say whether it might be helpful.",Arnica,0000004,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/721.html,,,
What is the action of Arnica and how does it work ?,0000004-3,how does it work,No information found.,Arnica,0000004,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/721.html,,,
Are there safety concerns or special precautions about Arnica ?,0000004-4,precautions,No information found.,Arnica,0000004,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/721.html,,,
Are there interactions between Arnica and other medications ?,0000004-5,interactions with medications,Moderate Be cautious with this combination. Medications that slow blood clotting (Anticoagulant / Antiplatelet drugs) Arnica might slow blood clotting. Taking arnica along with medications that also slow blood clotting might increase the risk of bruising and bleeding.,Arnica,0000004,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/721.html,,,
Are there interactions between Arnica and herbs and supplements ?,0000004-6,interactions with herbs and supplements,"Herbs and supplements that might slow blood clotting Arnica might slow blood clotting and increase the risk of bleeding. Taking it with other supplements with similar effects might increase the risk of bleeding in some people. Examples of supplements with this effect include garlic, ginger, ginkgo, nattokinase, and Panax ginseng.",Arnica,0000004,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/721.html,,,
Are there interactions between Arnica and foods ?,0000004-7,interactions with foods,There are no known interactions with foods.,Arnica,0000004,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/721.html,,,
What is the dosage of Arnica ?,0000004-8,dose,No information found.,Arnica,0000004,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/721.html,,,
What is Ashwagandha ?,0000005-1,information,"Ashwagandha is an evergreen shrub that grows in Asia and Africa. It is commonly used for stress. There is little evidence for its use as an ""adaptogen.""  Ashwagandha contains chemicals that might help calm the brain, reduce swelling, lower blood pressure, and alter the immune system. Since ashwagandha is traditionally used as an adaptogen, it is used for many conditions related to stress. Adaptogens are believed to help the body resist physical and mental stress. Some of the conditions it is used for include insomnia, aging, anxiety and many others, but there is no good scientific evidence to support most of these uses. There is also no good evidence to support using ashwagandha for COVID-19. Don't confuse ashwagandha with Physalis alkekengi. Both are known as winter cherry. Also, don't confuse ashwagandha with American ginseng, Panax ginseng, or eleuthero.",Ashwagandha,0000005,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/953.html,,,
How effective is Ashwagandha ?,0000005-2,how effective is it,"Natural Medicines Comprehensive Database  rates effectiveness based on scientific evidence according to the following scale:  Effective, Likely Effective, Possibly Effective, Possibly Ineffective, Likely Ineffective, Ineffective, and Insufficient Evidence to Rate. The effectiveness ratings for  ASHWAGANDHA  are as follows: Possibly effective for...  A type of persistent anxiety marked by exaggerated worry and tension (generalized anxiety disorder or GAD) . Taking ashwagandha by mouth seems to improve anxiety in people with persistent anxiety. ,  Insomnia . Taking ashwagandha by mouth seems to improve overall sleep and sleep quality in some people.,  Stress . Taking ashwagandha by mouth seems to help reduce stress in some people. It might also help reduce stress-related weight gain.,  There is interest in using ashwagandha for a number of other purposes, but there isn't enough reliable information to say whether it might be helpful.",Ashwagandha,0000005,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/953.html,,,
What is the action of Ashwagandha and how does it work ?,0000005-3,how does it work,No information found.,Ashwagandha,0000005,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/953.html,,,
Are there safety concerns or special precautions about Ashwagandha ?,0000005-4,precautions,No information found.,Ashwagandha,0000005,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/953.html,,,
Are there interactions between Ashwagandha and other medications ?,0000005-5,interactions with medications,"Moderate Be cautious with this combination. Medications for diabetes (Antidiabetes drugs) Ashwagandha might lower blood sugar levels. Taking ashwagandha along with diabetes medications might cause blood sugar to drop too low. Monitor your blood sugar closely. Medications for high blood pressure (Antihypertensive drugs) Ashwagandha might lower blood pressure. Taking ashwagandha along with medications that lower blood pressure might cause blood pressure to go too low. Monitor your blood pressure closely. Medications that decrease the immune system (Immunosuppressants) Ashwagandha can increase the activity of the immune system. Some medications, such as those used after a transplant, decrease the activity of the immune system. Taking ashwagandha along with these medications might decrease the effects of these medications. Sedative medications (Benzodiazepines) Ashwagandha might cause sleepiness and slowed breathing. Some medications, called sedatives, can also cause sleepiness and slowed breathing. Taking ashwagandha with sedative medications might cause breathing problems and/or too much sleepiness. Sedative medications (CNS depressants) Ashwagandha might cause sleepiness and slowed breathing. Some medications, called sedatives, can also cause sleepiness and slowed breathing. Taking ashwagandha with sedative medications might cause breathing problems and/or too much sleepiness. Thyroid hormone The body naturally produces thyroid hormones. Ashwagandha might increase how much thyroid hormone the body produces. Taking ashwagandha with thyroid hormone pills might cause too much thyroid hormone in the body, and increase the effects and side effects of thyroid hormone.",Ashwagandha,0000005,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/953.html,,,
Are there interactions between Ashwagandha and herbs and supplements ?,0000005-6,interactions with herbs and supplements,"Herbs and supplements that might lower blood pressure Ashwagandha might lower blood pressure. Taking it with other supplements that have the same effect might cause blood pressure to drop too much. Examples of supplements with this effect include andrographis, casein peptides, L-arginine, niacin, and stinging nettle. Herbs and supplements with sedative properties Ashwagandha might cause sleepiness and slowed breathing. Taking it along with other supplements with similar effects might cause too much sleepiness and/or slowed breathing in some people. Examples of supplements with this effect include hops, kava, L-tryptophan, melatonin, and valerian.",Ashwagandha,0000005,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/953.html,,,
Are there interactions between Ashwagandha and foods ?,0000005-7,interactions with foods,There are no known interactions with foods.,Ashwagandha,0000005,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/953.html,,,
What is the dosage of Ashwagandha ?,0000005-8,dose,No information found.,Ashwagandha,0000005,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/953.html,,,
What is Bacillus coagulans ?,0000006-1,information,"Bacillus coagulans (B. coagulans) is a type of probiotic (""good"" bacteria). It isn't naturally found in the body, but it produces lactic acid in the gut. B. coagulans is now known as Weizmannia coagulans. However, most products continue to use the name Bacillus. Also, some products containing B. coagulans are marketed as Lactobacillus sporogenes. Although both lactobacillus and B. coagulans produce a compound called lactic acid, unlike lactobacillus, B. coagulans forms spores. Spores are important for telling B. coagulans apart from other lactic acid bacteria. People take B. coagulans for constipation and irritable bowel syndrome (IBS). It is also used for diarrhea, gas, indigestion, and many other conditions, but there is no good scientific evidence to support these other uses. Don't confuse B. coagulans with other probiotics, or with fermented food products such as fermented milk, kefir, or yogurt. These are not the same. ",Bacillus coagulans,0000006,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/1185.html,,,
How effective is Bacillus coagulans ?,0000006-2,how effective is it,"Natural Medicines Comprehensive Database  rates effectiveness based on scientific evidence according to the following scale:  Effective, Likely Effective, Possibly Effective, Possibly Ineffective, Likely Ineffective, Ineffective, and Insufficient Evidence to Rate. The effectiveness ratings for  BACILLUS COAGULANS  are as follows: Possibly effective for...  Constipation . Taking B. coagulans by mouth seems to help relieve constipation.,  A long-term disorder of the large intestines that causes stomach pain (irritable bowel syndrome or IBS) . Taking B. coagulans by mouth seems to help relieve symptoms of IBS.,  There is interest in using B. coagulans for a number of other purposes, but there isn't enough reliable information to say whether it might be helpful.",Bacillus coagulans,0000006,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/1185.html,,,
What is the action of Bacillus coagulans and how does it work ?,0000006-3,how does it work,No information found.,Bacillus coagulans,0000006,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/1185.html,,,
Are there safety concerns or special precautions about Bacillus coagulans ?,0000006-4,precautions,No information found.,Bacillus coagulans,0000006,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/1185.html,,,
Are there interactions between Bacillus coagulans and other medications ?,0000006-5,interactions with medications,"Moderate Be cautious with this combination. Antibiotic drugs B. coagulans is a type of friendly bacteria. Antibiotics are used to reduce harmful bacteria in the body. Taking antibiotics along with B. coagulans can reduce the effects of B. coagulans. To avoid this interaction, take B. coagulans products at least 2 hours before or after antibiotics.",Bacillus coagulans,0000006,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/1185.html,,,
Are there interactions between Bacillus coagulans and herbs and supplements ?,0000006-6,interactions with herbs and supplements,There are no known interactions with herbs and supplements.,Bacillus coagulans,0000006,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/1185.html,,,
Are there interactions between Bacillus coagulans and foods ?,0000006-7,interactions with foods,There are no known interactions with foods.,Bacillus coagulans,0000006,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/1185.html,,,
What is the dosage of Bacillus coagulans ?,0000006-8,dose,No information found.,Bacillus coagulans,0000006,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/1185.html,,,
What is Bee Pollen ?,0000007-1,information,"Bee pollen is flower pollen that's collected by worker bees, mixed with nectar and bee saliva, and then packed into honeycomb cells in the hive.  Bee pollen might help stimulate the immune system, but it's not clear how bee pollen causes these effects.  People take bee pollen for athletic performance, hay fever, eczema, constipation, obesity, and many other conditions, but there is no good scientific evidence to support these uses. There is also no good evidence to support using bee pollen for COVID-19. Bee pollens come from many different plants, so the contents of bee pollen can vary significantly. Don't confuse bee pollen with beeswax, bee venom, honey, propolis, or royal jelly. These other bee products are not the same.",Bee Pollen,0000007,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/78.html,,,
How effective is Bee Pollen ?,0000007-2,how effective is it,"Natural Medicines Comprehensive Database  rates effectiveness based on scientific evidence according to the following scale:  Effective, Likely Effective, Possibly Effective, Possibly Ineffective, Likely Ineffective, Ineffective, and Insufficient Evidence to Rate. The effectiveness ratings for  BEE POLLEN  are as follows: Possibly ineffective for... Athletic performance . Taking bee pollen by mouth doesn't seem to improve athletic performance.,  There is interest in using bee pollen for a number of other purposes, but there isn't enough reliable information to say whether it might be helpful.",Bee Pollen,0000007,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/78.html,,,
What is the action of Bee Pollen and how does it work ?,0000007-3,how does it work,No information found.,Bee Pollen,0000007,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/78.html,,,
Are there safety concerns or special precautions about Bee Pollen ?,0000007-4,precautions,No information found.,Bee Pollen,0000007,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/78.html,,,
Are there interactions between Bee Pollen and other medications ?,0000007-5,interactions with medications,Moderate Be cautious with this combination. Warfarin (Coumadin) Bee pollen might increase the effects of warfarin. Taking bee pollen with warfarin might result in an increased chance of bruising or bleeding.,Bee Pollen,0000007,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/78.html,,,
Are there interactions between Bee Pollen and herbs and supplements ?,0000007-6,interactions with herbs and supplements,There are no known interactions with herbs and supplements.,Bee Pollen,0000007,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/78.html,,,
Are there interactions between Bee Pollen and foods ?,0000007-7,interactions with foods,There are no known interactions with foods.,Bee Pollen,0000007,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/78.html,,,
What is the dosage of Bee Pollen ?,0000007-8,dose,No information found.,Bee Pollen,0000007,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/78.html,,,
What is Belladonna ?,0000008-1,information,"Belladonna (Atropa belladonna) is a plant that grows from Western Europe to the Himalayas. It’s also grown in the US. All parts of the plant are poisonous. Belladonna has chemicals that can alter the function of the body's nervous system and cause changes to saliva, sweat, pupil size, urination, digestive functions, and others. Belladonna can also cause increased heart rate and blood pressure. Despite known safety concerns, people use belladonna for asthma, the common cold, hemorrhoids, Parkinson disease, and many other conditions, but there is no good scientific evidence to support these uses.  Since 2010, the FDA has issued several warnings about homeopathic teething tablets and gels for infants that contain belladonna. Serious side effects including seizures, breathing problems, and agitation have been reported in infants taking these products, and some have died. ",Belladonna,0000008,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/531.html,,,
How effective is Belladonna ?,0000008-2,how effective is it,"There is interest in using belladonna for a number of purposes, but there isn't enough reliable information to say whether it might be helpful.",Belladonna,0000008,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/531.html,,,
What is the action of Belladonna and how does it work ?,0000008-3,how does it work,No information found.,Belladonna,0000008,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/531.html,,,
Are there safety concerns or special precautions about Belladonna ?,0000008-4,precautions,No information found.,Belladonna,0000008,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/531.html,,,
Are there interactions between Belladonna and other medications ?,0000008-5,interactions with medications,"Moderate Be cautious with this combination. Cisapride (Propulsid) Belladonna contains atropine. Atropine can reduce the effects of cisapride. Taking belladonna with cisapride might reduce the effects of cisapride. Drying medications (Anticholinergic drugs) Belladonna can block a chemical in the body called acetylcholine, which has many important functions. Some medications, called anticholinergic drugs, also block acetylcholine. There is some concern that taking them together might increase the risk for confusion, blurred vision, increased sweating, and increased heart rate.",Belladonna,0000008,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/531.html,,,
Are there interactions between Belladonna and herbs and supplements ?,0000008-6,interactions with herbs and supplements,There are no known interactions with herbs and supplements.,Belladonna,0000008,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/531.html,,,
Are there interactions between Belladonna and foods ?,0000008-7,interactions with foods,There are no known interactions with foods.,Belladonna,0000008,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/531.html,,,
What is the dosage of Belladonna ?,0000008-8,dose,No information found.,Belladonna,0000008,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/531.html,,,
What is Berberine ?,0000009-1,information,"Berberine is a chemical found in some plants like European barberry, goldenseal, goldthread, Oregon grape, phellodendron, and tree turmeric. Berberine is a bitter-tasting and yellow-colored chemical. It might help strengthen the heartbeat, which could benefit people with certain heart conditions. It might also kill bacteria, help regulate how the body uses sugar in the blood, and help reduce swelling. People most commonly use berberine for diabetes, high levels of cholesterol or other fats in the blood, and high blood pressure. It is also used for burns, canker sores, liver disease, and many other conditions but there is no good scientific evidence to support many of these uses. ",Berberine,0000009,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/1126.html,,,
